order_ref,razorpay_payment_id,amount,date,notes
MORD-01,pay_g01_01,15000.00,2026-08-10,
MORD-02,pay_g01_pad01,37885.00,2026-08-13,
MORD-03,pay_g01_pad02,30811.00,2026-08-14,
MORD-04,pay_g01_pad03,39694.00,2026-08-11,
MORD-05,pay_g01_pad04,13301.00,2026-08-14,
MORD-06,pay_g01_pad05,32379.00,2026-08-14,
MORD-07,pay_g01_pad06,13401.00,2026-08-10,
MORD-08,pay_g01_pad07,30467.00,2026-08-12,
MORD-09,pay_g01_pad08,10492.00,2026-08-10,
MORD-10,pay_g01_pad09,36503.00,2026-08-10,
MORD-11,pay_g01_pad10,40222.00,2026-08-13,
MORD-12,pay_g01_pad11,30887.00,2026-08-14,
MORD-13,pay_g01_pad12,43803.00,2026-08-11,
MORD-14,pay_g01_pad13,42037.00,2026-08-10,
MORD-15,pay_g01_pad14,35827.00,2026-08-10,
MORD-16,pay_g01_pad15,5102.00,2026-08-10,
MORD-17,pay_g01_pad16,13665.00,2026-08-11,
MORD-18,pay_g01_pad17,40496.00,2026-08-10,
MORD-19,pay_g01_pad18,31604.00,2026-08-12,
MORD-20,pay_g01_pad19,30070.00,2026-08-14,
MORD-21,pay_g01_pad20,14000.00,2026-08-14,
MORD-22,pay_g01_pad21,16512.00,2026-08-12,
MORD-23,pay_g01_pad22,33953.00,2026-08-10,
MORD-24,pay_g01_pad23,44614.00,2026-08-10,
MORD-25,pay_g01_pad24,31171.00,2026-08-12,
MORD-26,pay_g01_pad25,27858.00,2026-08-14,
MORD-27,pay_g01_pad26,6652.00,2026-08-12,
