ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0001,MORD-01,SALES_REVENUE,credit,0.00,15000.00,INR,2026-08-10,pay_g01_01,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0002,MORD-02,SALES_REVENUE,credit,0.00,37885.00,INR,2026-08-13,pay_g01_pad01,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0003,MORD-03,SALES_REVENUE,credit,0.00,30811.00,INR,2026-08-14,pay_g01_pad02,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0004,MORD-04,SALES_REVENUE,credit,0.00,39694.00,INR,2026-08-11,pay_g01_pad03,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0005,MORD-05,SALES_REVENUE,credit,0.00,13301.00,INR,2026-08-14,pay_g01_pad04,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0006,MORD-06,SALES_REVENUE,credit,0.00,32379.00,INR,2026-08-14,pay_g01_pad05,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0007,MORD-07,SALES_REVENUE,credit,0.00,13401.00,INR,2026-08-10,pay_g01_pad06,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0008,MORD-08,SALES_REVENUE,credit,0.00,30467.00,INR,2026-08-12,pay_g01_pad07,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0009,MORD-09,SALES_REVENUE,credit,0.00,10492.00,INR,2026-08-10,pay_g01_pad08,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0010,MORD-10,SALES_REVENUE,credit,0.00,36503.00,INR,2026-08-10,pay_g01_pad09,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0011,MORD-11,SALES_REVENUE,credit,0.00,40222.00,INR,2026-08-13,pay_g01_pad10,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0012,MORD-12,SALES_REVENUE,credit,0.00,30887.00,INR,2026-08-14,pay_g01_pad11,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0013,MORD-13,SALES_REVENUE,credit,0.00,43803.00,INR,2026-08-11,pay_g01_pad12,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0014,MORD-14,SALES_REVENUE,credit,0.00,42037.00,INR,2026-08-10,pay_g01_pad13,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0015,MORD-15,SALES_REVENUE,credit,0.00,35827.00,INR,2026-08-10,pay_g01_pad14,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0016,MORD-16,SALES_REVENUE,credit,0.00,5102.00,INR,2026-08-10,pay_g01_pad15,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0017,MORD-17,SALES_REVENUE,credit,0.00,13665.00,INR,2026-08-11,pay_g01_pad16,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0018,MORD-18,SALES_REVENUE,credit,0.00,40496.00,INR,2026-08-10,pay_g01_pad17,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0019,MORD-19,SALES_REVENUE,credit,0.00,31604.00,INR,2026-08-12,pay_g01_pad18,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0020,MORD-20,SALES_REVENUE,credit,0.00,30070.00,INR,2026-08-14,pay_g01_pad19,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0021,MORD-21,SALES_REVENUE,credit,0.00,14000.00,INR,2026-08-14,pay_g01_pad20,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0022,MORD-22,SALES_REVENUE,credit,0.00,16512.00,INR,2026-08-12,pay_g01_pad21,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0023,MORD-23,SALES_REVENUE,credit,0.00,33953.00,INR,2026-08-10,pay_g01_pad22,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0024,MORD-24,SALES_REVENUE,credit,0.00,44614.00,INR,2026-08-10,pay_g01_pad23,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0025,MORD-25,SALES_REVENUE,credit,0.00,31171.00,INR,2026-08-12,pay_g01_pad24,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0026,MORD-26,SALES_REVENUE,credit,0.00,27858.00,INR,2026-08-14,pay_g01_pad25,
LED-SCENARIO_G01_CLEAN_SINGLE_PAYMENT-0027,MORD-27,SALES_REVENUE,credit,0.00,6652.00,INR,2026-08-12,pay_g01_pad26,
