merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_TYH6nwr3BPr9fE,15000.00,INR,paid,2026-08-10
MORD-02,order_TYH6nwcAXJJ1Rm,37885.00,INR,paid,2026-08-13
MORD-03,order_TYH6nx5BuTYG5L,30811.00,INR,paid,2026-08-14
MORD-04,order_TYH6o5uTUHgu9Y,39694.00,INR,paid,2026-08-11
MORD-05,order_TYH6o5KuSqDz3I,13301.00,INR,paid,2026-08-14
MORD-06,order_TYH6o7Ubba6dUf,32379.00,INR,paid,2026-08-14
MORD-07,order_TYH6oEMbAilFM7,13401.00,INR,paid,2026-08-10
MORD-08,order_TYH6pylX9lLGKO,30467.00,INR,paid,2026-08-12
MORD-09,order_TYH6pzZouxr3IB,10492.00,INR,paid,2026-08-10
MORD-10,order_TYH6q42C8jd0Oq,36503.00,INR,paid,2026-08-10
MORD-11,order_TYH6q76Etik1N3,40222.00,INR,paid,2026-08-13
MORD-12,order_TYH6q7EJyO0cJu,30887.00,INR,paid,2026-08-14
MORD-13,order_TYH6qBFUSn5qig,43803.00,INR,paid,2026-08-11
MORD-14,order_TYH6qEy0c52jav,42037.00,INR,paid,2026-08-10
MORD-15,order_TYH6s0PdloGbLW,35827.00,INR,paid,2026-08-10
MORD-16,order_TYH6s2qTfr2DUO,5102.00,INR,paid,2026-08-10
MORD-17,order_TYH6s7cAd4YrcM,13665.00,INR,paid,2026-08-11
MORD-18,order_TYH6s8xURK9NV9,40496.00,INR,paid,2026-08-10
MORD-19,order_TYH6s9XoUQP2Gp,31604.00,INR,paid,2026-08-12
MORD-20,order_TYH6sDuRCCx0vO,30070.00,INR,paid,2026-08-14
MORD-21,order_TYH6sEm1voPyJ0,14000.00,INR,paid,2026-08-14
MORD-22,order_TYH6u0XSYgVJPu,16512.00,INR,paid,2026-08-12
MORD-23,order_TYH6u3oAyC7VV7,33953.00,INR,paid,2026-08-10
MORD-24,order_TYH6u7CVo49ApD,44614.00,INR,paid,2026-08-10
MORD-25,order_TYH6u9xmdq5g3v,31171.00,INR,paid,2026-08-12
MORD-26,order_TYH6uBEK8LIhvi,27858.00,INR,paid,2026-08-14
MORD-27,order_TYH6uEPETk2gfH,6652.00,INR,paid,2026-08-12
