order_ref,razorpay_order_id,amount,date
MORD-01,order_g02_01,5000.00,2026-08-10
MORD-02,order_g02_02,8250.00,2026-08-10
MORD-03,order_g02_03,3100.00,2026-08-10
MORD-04,order_g02_04,12000.00,2026-08-10
MORD-05,order_g02_05,6600.00,2026-08-10
MORD-06,order_g02_pad01,16251.00,2026-08-14
MORD-07,order_g02_pad02,20142.00,2026-08-10
MORD-08,order_g02_pad03,5802.00,2026-08-14
MORD-09,order_g02_pad04,8273.00,2026-08-13
MORD-10,order_g02_pad05,8264.00,2026-08-12
MORD-11,order_g02_pad06,26530.00,2026-08-10
MORD-12,order_g02_pad07,2306.00,2026-08-10
MORD-13,order_g02_pad08,15192.00,2026-08-11
MORD-14,order_g02_pad09,4629.00,2026-08-13
MORD-15,order_g02_pad10,25806.00,2026-08-13
MORD-16,order_g02_pad11,28711.00,2026-08-10
MORD-17,order_g02_pad12,38309.00,2026-08-11
MORD-18,order_g02_pad13,45430.00,2026-08-12
MORD-19,order_g02_pad14,23278.00,2026-08-10
MORD-20,order_g02_pad15,21595.00,2026-08-12
MORD-21,order_g02_pad16,2192.00,2026-08-13
MORD-22,order_g02_pad17,8932.00,2026-08-11
MORD-23,order_g02_pad18,17347.00,2026-08-10
MORD-24,order_g02_pad19,1917.00,2026-08-10
MORD-25,order_g02_pad20,31670.00,2026-08-13
