ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0001,MORD-01,SALES_REVENUE,credit,0.00,5000.00,INR,2026-08-10,pay_g02_01,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0002,MORD-02,SALES_REVENUE,credit,0.00,8250.00,INR,2026-08-10,pay_g02_02,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0003,MORD-03,SALES_REVENUE,credit,0.00,3100.00,INR,2026-08-10,pay_g02_03,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0004,MORD-04,SALES_REVENUE,credit,0.00,12000.00,INR,2026-08-10,pay_g02_04,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0005,MORD-05,SALES_REVENUE,credit,0.00,6600.00,INR,2026-08-10,pay_g02_05,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0006,MORD-06,SALES_REVENUE,credit,0.00,16251.00,INR,2026-08-14,pay_g02_pad01,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0007,MORD-07,SALES_REVENUE,credit,0.00,20142.00,INR,2026-08-10,pay_g02_pad02,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0008,MORD-08,SALES_REVENUE,credit,0.00,5802.00,INR,2026-08-14,pay_g02_pad03,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0009,MORD-09,SALES_REVENUE,credit,0.00,8273.00,INR,2026-08-13,pay_g02_pad04,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0010,MORD-10,SALES_REVENUE,credit,0.00,8264.00,INR,2026-08-12,pay_g02_pad05,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0011,MORD-11,SALES_REVENUE,credit,0.00,26530.00,INR,2026-08-10,pay_g02_pad06,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0012,MORD-12,SALES_REVENUE,credit,0.00,2306.00,INR,2026-08-10,pay_g02_pad07,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0013,MORD-13,SALES_REVENUE,credit,0.00,15192.00,INR,2026-08-11,pay_g02_pad08,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0014,MORD-14,SALES_REVENUE,credit,0.00,4629.00,INR,2026-08-13,pay_g02_pad09,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0015,MORD-15,SALES_REVENUE,credit,0.00,25806.00,INR,2026-08-13,pay_g02_pad10,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0016,MORD-16,SALES_REVENUE,credit,0.00,28711.00,INR,2026-08-10,pay_g02_pad11,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0017,MORD-17,SALES_REVENUE,credit,0.00,38309.00,INR,2026-08-11,pay_g02_pad12,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0018,MORD-18,SALES_REVENUE,credit,0.00,45430.00,INR,2026-08-12,pay_g02_pad13,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0019,MORD-19,SALES_REVENUE,credit,0.00,23278.00,INR,2026-08-10,pay_g02_pad14,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0020,MORD-20,SALES_REVENUE,credit,0.00,21595.00,INR,2026-08-12,pay_g02_pad15,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0021,MORD-21,SALES_REVENUE,credit,0.00,2192.00,INR,2026-08-13,pay_g02_pad16,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0022,MORD-22,SALES_REVENUE,credit,0.00,8932.00,INR,2026-08-11,pay_g02_pad17,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0023,MORD-23,SALES_REVENUE,credit,0.00,17347.00,INR,2026-08-10,pay_g02_pad18,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0024,MORD-24,SALES_REVENUE,credit,0.00,1917.00,INR,2026-08-10,pay_g02_pad19,
LED-SCENARIO_G02_CLEAN_MULTI_PAYMENT-0025,MORD-25,SALES_REVENUE,credit,0.00,31670.00,INR,2026-08-13,pay_g02_pad20,
