merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_TYH9M0DPFu4NkD,5000.00,INR,paid,2026-08-10
MORD-02,order_TYH9M2NyHLdB84,8250.00,INR,paid,2026-08-10
MORD-03,order_TYH9M4I1dgeMAZ,3100.00,INR,paid,2026-08-10
MORD-04,order_TYH9M8AzGb6TO0,12000.00,INR,paid,2026-08-10
MORD-05,order_TYH9MEw535732f,6600.00,INR,paid,2026-08-10
MORD-06,order_TYH9MEfez0eBYR,16251.00,INR,paid,2026-08-14
MORD-07,order_TYH9MIX1mPOEx4,20142.00,INR,paid,2026-08-10
MORD-08,order_TYH9OAcrqH4CKZ,5802.00,INR,paid,2026-08-14
MORD-09,order_TYH9O9DrQsVtCu,8273.00,INR,paid,2026-08-13
MORD-10,order_TYH9OG5zcFHskQ,8264.00,INR,paid,2026-08-12
MORD-11,order_TYH9OGFbBrjppr,26530.00,INR,paid,2026-08-10
MORD-12,order_TYH9OHMGA3laAM,2306.00,INR,paid,2026-08-10
MORD-13,order_TYH9ON09DWCvVJ,15192.00,INR,paid,2026-08-11
MORD-14,order_TYH9QAdYvnXnMy,4629.00,INR,paid,2026-08-13
MORD-15,order_TYH9OO5CqUug1q,25806.00,INR,paid,2026-08-13
MORD-16,order_TYH9QFlvmf2B07,28711.00,INR,paid,2026-08-10
MORD-17,order_TYH9QGlPC1PDLE,38309.00,INR,paid,2026-08-11
MORD-18,order_TYH9QLYQje1c1u,45430.00,INR,paid,2026-08-12
MORD-19,order_TYH9QMvKY4jXfk,23278.00,INR,paid,2026-08-10
MORD-20,order_TYH9QMuXsPJKZF,21595.00,INR,paid,2026-08-12
MORD-21,order_TYH9QSAVF6CuUn,2192.00,INR,paid,2026-08-13
MORD-22,order_TYH9SDIfg6HKds,8932.00,INR,paid,2026-08-11
MORD-23,order_TYH9SDife7nMC0,17347.00,INR,paid,2026-08-10
MORD-24,order_TYH9SNgzFZ4Hyb,1917.00,INR,paid,2026-08-10
MORD-25,order_TYH9SKBijdwx2f,31670.00,INR,paid,2026-08-13
