order_ref,razorpay_payment_id,amount,date,notes
MORD-01,pay_g03_01,10000.00,2026-08-10,
MORD-02,pay_g03_02,7500.00,2026-08-10,
MORD-03,pay_g03_03,20000.00,2026-08-10,partial refund 3000.00 issued
MORD-04,pay_g03_04,4200.00,2026-08-10,
MORD-05,pay_g03_pad01,45900.00,2026-08-14,
MORD-06,pay_g03_pad02,13546.00,2026-08-13,
MORD-07,pay_g03_pad03,34549.00,2026-08-11,
MORD-08,pay_g03_pad04,9783.00,2026-08-13,
MORD-09,pay_g03_pad05,43386.00,2026-08-13,
MORD-10,pay_g03_pad06,8835.00,2026-08-13,
MORD-11,pay_g03_pad07,28774.00,2026-08-11,
MORD-12,pay_g03_pad08,1230.00,2026-08-12,
MORD-13,pay_g03_pad09,40045.00,2026-08-12,
MORD-14,pay_g03_pad10,2486.00,2026-08-11,
MORD-15,pay_g03_pad11,13475.00,2026-08-13,
MORD-16,pay_g03_pad12,40653.00,2026-08-14,
MORD-17,pay_g03_pad13,7775.00,2026-08-10,
MORD-18,pay_g03_pad14,10791.00,2026-08-11,
MORD-19,pay_g03_pad15,30136.00,2026-08-12,
MORD-20,pay_g03_pad16,1827.00,2026-08-14,
MORD-21,pay_g03_pad17,22758.00,2026-08-12,
MORD-22,pay_g03_pad18,26508.00,2026-08-10,
