order_ref,razorpay_order_id,amount,date
MORD-01,order_g03_01,10000.00,2026-08-10
MORD-02,order_g03_02,7500.00,2026-08-10
MORD-03,order_g03_03,20000.00,2026-08-10
MORD-04,order_g03_04,4200.00,2026-08-10
MORD-05,order_g03_pad01,45900.00,2026-08-14
MORD-06,order_g03_pad02,13546.00,2026-08-13
MORD-07,order_g03_pad03,34549.00,2026-08-11
MORD-08,order_g03_pad04,9783.00,2026-08-13
MORD-09,order_g03_pad05,43386.00,2026-08-13
MORD-10,order_g03_pad06,8835.00,2026-08-13
MORD-11,order_g03_pad07,28774.00,2026-08-11
MORD-12,order_g03_pad08,1230.00,2026-08-12
MORD-13,order_g03_pad09,40045.00,2026-08-12
MORD-14,order_g03_pad10,2486.00,2026-08-11
MORD-15,order_g03_pad11,13475.00,2026-08-13
MORD-16,order_g03_pad12,40653.00,2026-08-14
MORD-17,order_g03_pad13,7775.00,2026-08-10
MORD-18,order_g03_pad14,10791.00,2026-08-11
MORD-19,order_g03_pad15,30136.00,2026-08-12
MORD-20,order_g03_pad16,1827.00,2026-08-14
MORD-21,order_g03_pad17,22758.00,2026-08-12
MORD-22,order_g03_pad18,26508.00,2026-08-10
