ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0001,MORD-01,SALES_REVENUE,credit,0.00,10000.00,INR,2026-08-10,pay_g03_01,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0002,MORD-02,SALES_REVENUE,credit,0.00,7500.00,INR,2026-08-10,pay_g03_02,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0003,MORD-03,SALES_REVENUE,credit,0.00,20000.00,INR,2026-08-10,pay_g03_03,partial refund 3000.00 issued
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0004,MORD-04,SALES_REVENUE,credit,0.00,4200.00,INR,2026-08-10,pay_g03_04,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0005,MORD-05,SALES_REVENUE,credit,0.00,45900.00,INR,2026-08-14,pay_g03_pad01,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0006,MORD-06,SALES_REVENUE,credit,0.00,13546.00,INR,2026-08-13,pay_g03_pad02,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0007,MORD-07,SALES_REVENUE,credit,0.00,34549.00,INR,2026-08-11,pay_g03_pad03,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0008,MORD-08,SALES_REVENUE,credit,0.00,9783.00,INR,2026-08-13,pay_g03_pad04,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0009,MORD-09,SALES_REVENUE,credit,0.00,43386.00,INR,2026-08-13,pay_g03_pad05,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0010,MORD-10,SALES_REVENUE,credit,0.00,8835.00,INR,2026-08-13,pay_g03_pad06,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0011,MORD-11,SALES_REVENUE,credit,0.00,28774.00,INR,2026-08-11,pay_g03_pad07,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0012,MORD-12,SALES_REVENUE,credit,0.00,1230.00,INR,2026-08-12,pay_g03_pad08,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0013,MORD-13,SALES_REVENUE,credit,0.00,40045.00,INR,2026-08-12,pay_g03_pad09,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0014,MORD-14,SALES_REVENUE,credit,0.00,2486.00,INR,2026-08-11,pay_g03_pad10,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0015,MORD-15,SALES_REVENUE,credit,0.00,13475.00,INR,2026-08-13,pay_g03_pad11,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0016,MORD-16,SALES_REVENUE,credit,0.00,40653.00,INR,2026-08-14,pay_g03_pad12,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0017,MORD-17,SALES_REVENUE,credit,0.00,7775.00,INR,2026-08-10,pay_g03_pad13,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0018,MORD-18,SALES_REVENUE,credit,0.00,10791.00,INR,2026-08-11,pay_g03_pad14,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0019,MORD-19,SALES_REVENUE,credit,0.00,30136.00,INR,2026-08-12,pay_g03_pad15,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0020,MORD-20,SALES_REVENUE,credit,0.00,1827.00,INR,2026-08-14,pay_g03_pad16,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0021,MORD-21,SALES_REVENUE,credit,0.00,22758.00,INR,2026-08-12,pay_g03_pad17,
LED-SCENARIO_G03_CLEAN_WITH_REFUND-0022,MORD-22,SALES_REVENUE,credit,0.00,26508.00,INR,2026-08-10,pay_g03_pad18,
