merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_TYH9SdnIUs8v8e,10000.00,INR,paid,2026-08-10
MORD-02,order_TYH9SaxoRvB4h9,7500.00,INR,paid,2026-08-10
MORD-03,order_TYH9Sajq0TSVxH,20000.00,INR,paid,2026-08-10
MORD-04,order_TYH9USMTzGZKUK,4200.00,INR,paid,2026-08-10
MORD-05,order_TYH9UZuUcxsg6h,45900.00,INR,paid,2026-08-14
MORD-06,order_TYH9UYgs8bJ5HC,13546.00,INR,paid,2026-08-13
MORD-07,order_TYH9Ubt4sjcu6t,34549.00,INR,paid,2026-08-11
MORD-08,order_TYH9Ug7lpmDkwb,9783.00,INR,paid,2026-08-13
MORD-09,order_TYH9UgDTF2JTzH,43386.00,INR,paid,2026-08-13
MORD-10,order_TYH9Ukqlm8NKtj,8835.00,INR,paid,2026-08-13
MORD-11,order_TYH9WVJHa1CJJW,28774.00,INR,paid,2026-08-11
MORD-12,order_TYH9WWQNH8Rq78,1230.00,INR,paid,2026-08-12
MORD-13,order_TYH9WcxkzGWB7x,40045.00,INR,paid,2026-08-12
MORD-14,order_TYH9WbnrjdD44j,2486.00,INR,paid,2026-08-11
MORD-15,order_TYH9WcFZDSjgEB,13475.00,INR,paid,2026-08-13
MORD-16,order_TYH9WlX1b3Ogm2,40653.00,INR,paid,2026-08-14
MORD-17,order_TYH9WnhP3Z1ow9,7775.00,INR,paid,2026-08-10
MORD-18,order_TYH9YXo4Qh6bMl,10791.00,INR,paid,2026-08-11
MORD-19,order_TYH9YdxdzBjUqQ,30136.00,INR,paid,2026-08-12
MORD-20,order_TYH9Yczz0PZNmj,1827.00,INR,paid,2026-08-14
MORD-21,order_TYH9YfzNeGYMB4,22758.00,INR,paid,2026-08-12
MORD-22,order_TYH9Ylq5Ay7OnD,26508.00,INR,paid,2026-08-10
