order_ref,razorpay_payment_id,amount,date,notes
MORD-01,pay_g04_01,9000.00,2026-08-10,
MORD-02,pay_g04_02,15000.00,2026-08-10,AMOUNT MISMATCH INJECTED: ledger shows less than actual payment
MORD-03,pay_g04_03,6300.00,2026-08-10,
MORD-04,pay_g04_pad01,7105.00,2026-08-11,
MORD-05,pay_g04_pad02,39390.00,2026-08-11,
MORD-06,pay_g04_pad03,2216.00,2026-08-14,
MORD-07,pay_g04_pad04,25361.00,2026-08-12,
MORD-08,pay_g04_pad05,41973.00,2026-08-13,
MORD-09,pay_g04_pad06,9537.00,2026-08-14,
MORD-10,pay_g04_pad07,32901.00,2026-08-14,
MORD-11,pay_g04_pad08,10095.00,2026-08-13,
MORD-12,pay_g04_pad09,13181.00,2026-08-11,
MORD-13,pay_g04_pad10,21569.00,2026-08-11,
MORD-14,pay_g04_pad11,41206.00,2026-08-11,
MORD-15,pay_g04_pad12,13638.00,2026-08-11,
MORD-16,pay_g04_pad13,42420.00,2026-08-14,
MORD-17,pay_g04_pad14,14083.00,2026-08-13,
MORD-18,pay_g04_pad15,32822.00,2026-08-14,
MORD-19,pay_g04_pad16,6344.00,2026-08-13,
MORD-20,pay_g04_pad17,4306.00,2026-08-10,
MORD-21,pay_g04_pad18,8346.00,2026-08-10,
