order_ref,razorpay_order_id,amount,date
MORD-01,order_g04_01,9000.00,2026-08-10
MORD-02,order_g04_02,15500.00,2026-08-10
MORD-03,order_g04_03,6300.00,2026-08-10
MORD-04,order_g04_pad01,7105.00,2026-08-11
MORD-05,order_g04_pad02,39390.00,2026-08-11
MORD-06,order_g04_pad03,2216.00,2026-08-14
MORD-07,order_g04_pad04,25361.00,2026-08-12
MORD-08,order_g04_pad05,41973.00,2026-08-13
MORD-09,order_g04_pad06,9537.00,2026-08-14
MORD-10,order_g04_pad07,32901.00,2026-08-14
MORD-11,order_g04_pad08,10095.00,2026-08-13
MORD-12,order_g04_pad09,13181.00,2026-08-11
MORD-13,order_g04_pad10,21569.00,2026-08-11
MORD-14,order_g04_pad11,41206.00,2026-08-11
MORD-15,order_g04_pad12,13638.00,2026-08-11
MORD-16,order_g04_pad13,42420.00,2026-08-14
MORD-17,order_g04_pad14,14083.00,2026-08-13
MORD-18,order_g04_pad15,32822.00,2026-08-14
MORD-19,order_g04_pad16,6344.00,2026-08-13
MORD-20,order_g04_pad17,4306.00,2026-08-10
MORD-21,order_g04_pad18,8346.00,2026-08-10
