ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0001,MORD-01,SALES_REVENUE,credit,0.00,9000.00,INR,2026-08-10,pay_g04_01,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0002,MORD-02,SALES_REVENUE,credit,0.00,15000.00,INR,2026-08-10,pay_g04_02,AMOUNT MISMATCH INJECTED: ledger shows less than actual payment
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0003,MORD-03,SALES_REVENUE,credit,0.00,6300.00,INR,2026-08-10,pay_g04_03,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0004,MORD-04,SALES_REVENUE,credit,0.00,7105.00,INR,2026-08-11,pay_g04_pad01,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0005,MORD-05,SALES_REVENUE,credit,0.00,39390.00,INR,2026-08-11,pay_g04_pad02,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0006,MORD-06,SALES_REVENUE,credit,0.00,2216.00,INR,2026-08-14,pay_g04_pad03,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0007,MORD-07,SALES_REVENUE,credit,0.00,25361.00,INR,2026-08-12,pay_g04_pad04,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0008,MORD-08,SALES_REVENUE,credit,0.00,41973.00,INR,2026-08-13,pay_g04_pad05,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0009,MORD-09,SALES_REVENUE,credit,0.00,9537.00,INR,2026-08-14,pay_g04_pad06,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0010,MORD-10,SALES_REVENUE,credit,0.00,32901.00,INR,2026-08-14,pay_g04_pad07,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0011,MORD-11,SALES_REVENUE,credit,0.00,10095.00,INR,2026-08-13,pay_g04_pad08,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0012,MORD-12,SALES_REVENUE,credit,0.00,13181.00,INR,2026-08-11,pay_g04_pad09,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0013,MORD-13,SALES_REVENUE,credit,0.00,21569.00,INR,2026-08-11,pay_g04_pad10,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0014,MORD-14,SALES_REVENUE,credit,0.00,41206.00,INR,2026-08-11,pay_g04_pad11,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0015,MORD-15,SALES_REVENUE,credit,0.00,13638.00,INR,2026-08-11,pay_g04_pad12,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0016,MORD-16,SALES_REVENUE,credit,0.00,42420.00,INR,2026-08-14,pay_g04_pad13,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0017,MORD-17,SALES_REVENUE,credit,0.00,14083.00,INR,2026-08-13,pay_g04_pad14,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0018,MORD-18,SALES_REVENUE,credit,0.00,32822.00,INR,2026-08-14,pay_g04_pad15,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0019,MORD-19,SALES_REVENUE,credit,0.00,6344.00,INR,2026-08-13,pay_g04_pad16,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0020,MORD-20,SALES_REVENUE,credit,0.00,4306.00,INR,2026-08-10,pay_g04_pad17,
LED-SCENARIO_G04_MERCHANT_LEDGER_AMOUNT_DIFFERENCE-0021,MORD-21,SALES_REVENUE,credit,0.00,8346.00,INR,2026-08-10,pay_g04_pad18,
