merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_TYH9appkxeRvKq,9000.00,INR,paid,2026-08-10
MORD-02,order_TYH9Z4a4KiAHZL,15500.00,INR,paid,2026-08-10
MORD-03,order_TYH9Z50E7N0Gar,6300.00,INR,paid,2026-08-10
MORD-04,order_TYH9b0lrcWMbqr,7105.00,INR,paid,2026-08-11
MORD-05,order_TYH9b0l8sNmwvl,39390.00,INR,paid,2026-08-11
MORD-06,order_TYH9awusBRIc7f,2216.00,INR,paid,2026-08-14
MORD-07,order_TYH9b7kUEPDKKm,25361.00,INR,paid,2026-08-12
MORD-08,order_TYH9b80vuhk0z0,41973.00,INR,paid,2026-08-13
MORD-09,order_TYH9b8EgjVvt8L,9537.00,INR,paid,2026-08-14
MORD-10,order_TYH9d1DQiklgND,32901.00,INR,paid,2026-08-14
MORD-11,order_TYH9d0hHsP2TYD,10095.00,INR,paid,2026-08-13
MORD-12,order_TYH9d10Six5i1H,13181.00,INR,paid,2026-08-11
MORD-13,order_TYH9dCa9ptkhlM,21569.00,INR,paid,2026-08-11
MORD-14,order_TYH9dCTQBL4aFm,41206.00,INR,paid,2026-08-11
MORD-15,order_TYH9dCQ5IHKUnG,13638.00,INR,paid,2026-08-11
MORD-16,order_TYH9dJkxyjDDaf,42420.00,INR,paid,2026-08-14
MORD-17,order_TYH9f7ZSBnMlB8,14083.00,INR,paid,2026-08-13
MORD-18,order_TYH9f7RZE3iqRs,32822.00,INR,paid,2026-08-14
MORD-19,order_TYH9fCyuo9e6EP,6344.00,INR,paid,2026-08-13
MORD-20,order_TYH9fFEGCUD1Os,4306.00,INR,paid,2026-08-10
MORD-21,order_TYH9fEwAEDYUFv,8346.00,INR,paid,2026-08-10
