order_ref,razorpay_payment_id,amount,date,notes
MORD-01,pay_g05_01,22000.00,2026-08-10,
MORD-02,pay_g05_02,8800.00,2026-08-10,
MORD-03,pay_g05_pad01,17923.00,2026-08-11,
MORD-04,pay_g05_pad02,26864.00,2026-08-12,
MORD-05,pay_g05_pad03,28778.00,2026-08-14,
MORD-06,pay_g05_pad04,33378.00,2026-08-12,
MORD-07,pay_g05_pad05,35283.00,2026-08-11,
MORD-08,pay_g05_pad06,5707.00,2026-08-11,
MORD-09,pay_g05_pad07,16168.00,2026-08-13,
MORD-10,pay_g05_pad08,37858.00,2026-08-14,
MORD-11,pay_g05_pad09,41458.00,2026-08-10,
MORD-12,pay_g05_pad10,19564.00,2026-08-11,
MORD-13,pay_g05_pad11,14567.00,2026-08-10,
MORD-14,pay_g05_pad12,5732.00,2026-08-12,
MORD-15,pay_g05_pad13,28163.00,2026-08-13,
MORD-16,pay_g05_pad14,17522.00,2026-08-10,
MORD-17,pay_g05_pad15,4253.00,2026-08-11,
MORD-18,pay_g05_pad16,19678.00,2026-08-12,
MORD-19,pay_g05_pad17,35999.00,2026-08-14,
MORD-20,pay_g05_pad18,9823.00,2026-08-10,
MORD-21,pay_g05_pad19,24933.00,2026-08-11,
MORD-22,pay_g05_pad20,30713.00,2026-08-12,
MORD-23,pay_g05_pad21,44252.00,2026-08-14,
MORD-24,pay_g05_pad22,39501.00,2026-08-11,
MORD-25,pay_g05_pad23,39858.00,2026-08-10,
MORD-26,pay_g05_pad24,2372.00,2026-08-13,
MORD-27,pay_g05_pad25,24627.00,2026-08-12,
MORD-28,pay_g05_pad26,3398.00,2026-08-10,
