order_ref,razorpay_order_id,amount,date
MORD-01,order_g05_01,23200.00,2026-08-10
MORD-02,order_g05_02,8800.00,2026-08-10
MORD-03,order_g05_pad01,17923.00,2026-08-11
MORD-04,order_g05_pad02,26864.00,2026-08-12
MORD-05,order_g05_pad03,28778.00,2026-08-14
MORD-06,order_g05_pad04,33378.00,2026-08-12
MORD-07,order_g05_pad05,35283.00,2026-08-11
MORD-08,order_g05_pad06,5707.00,2026-08-11
MORD-09,order_g05_pad07,16168.00,2026-08-13
MORD-10,order_g05_pad08,37858.00,2026-08-14
MORD-11,order_g05_pad09,41458.00,2026-08-10
MORD-12,order_g05_pad10,19564.00,2026-08-11
MORD-13,order_g05_pad11,14567.00,2026-08-10
MORD-14,order_g05_pad12,5732.00,2026-08-12
MORD-15,order_g05_pad13,28163.00,2026-08-13
MORD-16,order_g05_pad14,17522.00,2026-08-10
MORD-17,order_g05_pad15,4253.00,2026-08-11
MORD-18,order_g05_pad16,19678.00,2026-08-12
MORD-19,order_g05_pad17,35999.00,2026-08-14
MORD-20,order_g05_pad18,9823.00,2026-08-10
MORD-21,order_g05_pad19,24933.00,2026-08-11
MORD-22,order_g05_pad20,30713.00,2026-08-12
MORD-23,order_g05_pad21,44252.00,2026-08-14
MORD-24,order_g05_pad22,39501.00,2026-08-11
MORD-25,order_g05_pad23,39858.00,2026-08-10
MORD-26,order_g05_pad24,2372.00,2026-08-13
MORD-27,order_g05_pad25,24627.00,2026-08-12
MORD-28,order_g05_pad26,3398.00,2026-08-10
