ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0001,MORD-01,SALES_REVENUE,credit,0.00,22000.00,INR,2026-08-10,pay_g05_01,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0002,MORD-02,SALES_REVENUE,credit,0.00,8800.00,INR,2026-08-10,pay_g05_02,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0003,MORD-03,SALES_REVENUE,credit,0.00,17923.00,INR,2026-08-11,pay_g05_pad01,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0004,MORD-04,SALES_REVENUE,credit,0.00,26864.00,INR,2026-08-12,pay_g05_pad02,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0005,MORD-05,SALES_REVENUE,credit,0.00,28778.00,INR,2026-08-14,pay_g05_pad03,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0006,MORD-06,SALES_REVENUE,credit,0.00,33378.00,INR,2026-08-12,pay_g05_pad04,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0007,MORD-07,SALES_REVENUE,credit,0.00,35283.00,INR,2026-08-11,pay_g05_pad05,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0008,MORD-08,SALES_REVENUE,credit,0.00,5707.00,INR,2026-08-11,pay_g05_pad06,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0009,MORD-09,SALES_REVENUE,credit,0.00,16168.00,INR,2026-08-13,pay_g05_pad07,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0010,MORD-10,SALES_REVENUE,credit,0.00,37858.00,INR,2026-08-14,pay_g05_pad08,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0011,MORD-11,SALES_REVENUE,credit,0.00,41458.00,INR,2026-08-10,pay_g05_pad09,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0012,MORD-12,SALES_REVENUE,credit,0.00,19564.00,INR,2026-08-11,pay_g05_pad10,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0013,MORD-13,SALES_REVENUE,credit,0.00,14567.00,INR,2026-08-10,pay_g05_pad11,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0014,MORD-14,SALES_REVENUE,credit,0.00,5732.00,INR,2026-08-12,pay_g05_pad12,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0015,MORD-15,SALES_REVENUE,credit,0.00,28163.00,INR,2026-08-13,pay_g05_pad13,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0016,MORD-16,SALES_REVENUE,credit,0.00,17522.00,INR,2026-08-10,pay_g05_pad14,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0017,MORD-17,SALES_REVENUE,credit,0.00,4253.00,INR,2026-08-11,pay_g05_pad15,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0018,MORD-18,SALES_REVENUE,credit,0.00,19678.00,INR,2026-08-12,pay_g05_pad16,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0019,MORD-19,SALES_REVENUE,credit,0.00,35999.00,INR,2026-08-14,pay_g05_pad17,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0020,MORD-20,SALES_REVENUE,credit,0.00,9823.00,INR,2026-08-10,pay_g05_pad18,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0021,MORD-21,SALES_REVENUE,credit,0.00,24933.00,INR,2026-08-11,pay_g05_pad19,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0022,MORD-22,SALES_REVENUE,credit,0.00,30713.00,INR,2026-08-12,pay_g05_pad20,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0023,MORD-23,SALES_REVENUE,credit,0.00,44252.00,INR,2026-08-14,pay_g05_pad21,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0024,MORD-24,SALES_REVENUE,credit,0.00,39501.00,INR,2026-08-11,pay_g05_pad22,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0025,MORD-25,SALES_REVENUE,credit,0.00,39858.00,INR,2026-08-10,pay_g05_pad23,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0026,MORD-26,SALES_REVENUE,credit,0.00,2372.00,INR,2026-08-13,pay_g05_pad24,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0027,MORD-27,SALES_REVENUE,credit,0.00,24627.00,INR,2026-08-12,pay_g05_pad25,
LED-SCENARIO_G05_PAYMENT_AMOUNT_DIFFERENCE-0028,MORD-28,SALES_REVENUE,credit,0.00,3398.00,INR,2026-08-10,pay_g05_pad26,
