merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_TYH9fUbl4rbaKK,23200.00,INR,paid,2026-08-10
MORD-02,order_TYH9hMIxdu1Axt,8800.00,INR,paid,2026-08-10
MORD-03,order_TYH9fUrncga0Pf,17923.00,INR,paid,2026-08-11
MORD-04,order_TYH9hUQdsHanSu,26864.00,INR,paid,2026-08-12
MORD-05,order_TYH9hRvRtDGlH9,28778.00,INR,paid,2026-08-14
MORD-06,order_TYH9hUD0xwcbn2,33378.00,INR,paid,2026-08-12
MORD-07,order_TYH9hfCUYhAEXI,35283.00,INR,paid,2026-08-11
MORD-08,order_TYH9hg5gdxUdJa,5707.00,INR,paid,2026-08-11
MORD-09,order_TYH9hg625AXWnq,16168.00,INR,paid,2026-08-13
MORD-10,order_TYH9jaGCYEMHbB,37858.00,INR,paid,2026-08-14
MORD-11,order_TYH9jaUVenmPIB,41458.00,INR,paid,2026-08-10
MORD-12,order_TYH9jbv57FvAlM,19564.00,INR,paid,2026-08-11
MORD-13,order_TYH9jjApAG3Kca,14567.00,INR,paid,2026-08-10
MORD-14,order_TYH9jjIxGn2lDD,5732.00,INR,paid,2026-08-12
MORD-15,order_TYH9jjIsq3LvbV,28163.00,INR,paid,2026-08-13
MORD-16,order_TYH9jwFl4beMaH,17522.00,INR,paid,2026-08-10
MORD-17,order_TYH9lnoJ1Ami4j,4253.00,INR,paid,2026-08-11
MORD-18,order_TYH9ln8dftvK29,19678.00,INR,paid,2026-08-12
MORD-19,order_TYH9ltO70G3dsQ,35999.00,INR,paid,2026-08-14
MORD-20,order_TYH9lwW9noCaJD,9823.00,INR,paid,2026-08-10
MORD-21,order_TYH9lwwtTQSjOz,24933.00,INR,paid,2026-08-11
MORD-22,order_TYH9npgmLzyAWD,30713.00,INR,paid,2026-08-12
MORD-23,order_TYH9m4b5zwwefw,44252.00,INR,paid,2026-08-14
MORD-24,order_TYH9m4aUM33Qh1,39501.00,INR,paid,2026-08-11
MORD-25,order_TYH9nyILdThOVl,39858.00,INR,paid,2026-08-10
MORD-26,order_TYH9nyDFEI5aIS,2372.00,INR,paid,2026-08-13
MORD-27,order_TYH9o6jUHQKrMs,24627.00,INR,paid,2026-08-12
MORD-28,order_TYH9o9Az5qIkgM,3398.00,INR,paid,2026-08-10
