order_ref,razorpay_payment_id,amount,date,notes
MORD-01,pay_g06_01,14000.00,2026-08-10,
MORD-02,pay_g06_02,5600.00,2026-08-10,
MORD-03,pay_g06_03,9900.00,2026-08-10,
MORD-04,pay_g06_pad01,42892.00,2026-08-10,
MORD-05,pay_g06_pad02,32803.00,2026-08-10,
MORD-06,pay_g06_pad03,21585.00,2026-08-12,
MORD-07,pay_g06_pad04,10152.00,2026-08-10,
MORD-08,pay_g06_pad05,6132.00,2026-08-13,
MORD-09,pay_g06_pad06,36988.00,2026-08-12,
MORD-10,pay_g06_pad07,4114.00,2026-08-11,
MORD-11,pay_g06_pad08,23588.00,2026-08-12,
MORD-12,pay_g06_pad09,6765.00,2026-08-13,
MORD-13,pay_g06_pad10,6290.00,2026-08-13,
MORD-14,pay_g06_pad11,3183.00,2026-08-13,
MORD-15,pay_g06_pad12,38739.00,2026-08-10,
MORD-16,pay_g06_pad13,42157.00,2026-08-13,
MORD-17,pay_g06_pad14,26049.00,2026-08-14,
MORD-18,pay_g06_pad15,2015.00,2026-08-14,
MORD-19,pay_g06_pad16,5934.00,2026-08-10,
MORD-20,pay_g06_pad17,7140.00,2026-08-10,
MORD-21,pay_g06_pad18,18056.00,2026-08-13,
MORD-22,pay_g06_pad19,22836.00,2026-08-13,
MORD-23,pay_g06_pad20,39273.00,2026-08-13,
MORD-24,pay_g06_pad21,30070.00,2026-08-13,
MORD-25,pay_g06_pad22,36671.00,2026-08-10,
MORD-26,pay_g06_pad23,35193.00,2026-08-14,
MORD-27,pay_g06_pad24,3152.00,2026-08-12,
MORD-28,pay_g06_pad25,40605.00,2026-08-10,
MORD-29,pay_g06_pad26,32719.00,2026-08-10,
