order_ref,razorpay_order_id,amount,date
MORD-01,order_g06_01,14000.00,2026-08-10
MORD-02,order_g06_02,5600.00,2026-08-10
MORD-03,order_g06_03,9900.00,2026-08-10
MORD-02-DUP,order_g06_02,5600.00,2026-08-10
MORD-04,order_g06_pad01,42892.00,2026-08-10
MORD-05,order_g06_pad02,32803.00,2026-08-10
MORD-06,order_g06_pad03,21585.00,2026-08-12
MORD-07,order_g06_pad04,10152.00,2026-08-10
MORD-08,order_g06_pad05,6132.00,2026-08-13
MORD-09,order_g06_pad06,36988.00,2026-08-12
MORD-10,order_g06_pad07,4114.00,2026-08-11
MORD-11,order_g06_pad08,23588.00,2026-08-12
MORD-12,order_g06_pad09,6765.00,2026-08-13
MORD-13,order_g06_pad10,6290.00,2026-08-13
MORD-14,order_g06_pad11,3183.00,2026-08-13
MORD-15,order_g06_pad12,38739.00,2026-08-10
MORD-16,order_g06_pad13,42157.00,2026-08-13
MORD-17,order_g06_pad14,26049.00,2026-08-14
MORD-18,order_g06_pad15,2015.00,2026-08-14
MORD-19,order_g06_pad16,5934.00,2026-08-10
MORD-20,order_g06_pad17,7140.00,2026-08-10
MORD-21,order_g06_pad18,18056.00,2026-08-13
MORD-22,order_g06_pad19,22836.00,2026-08-13
MORD-23,order_g06_pad20,39273.00,2026-08-13
MORD-24,order_g06_pad21,30070.00,2026-08-13
MORD-25,order_g06_pad22,36671.00,2026-08-10
MORD-26,order_g06_pad23,35193.00,2026-08-14
MORD-27,order_g06_pad24,3152.00,2026-08-12
MORD-28,order_g06_pad25,40605.00,2026-08-10
MORD-29,order_g06_pad26,32719.00,2026-08-10
