ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G06_DUPLICATE_ORDER-0001,MORD-01,SALES_REVENUE,credit,0.00,14000.00,INR,2026-08-10,pay_g06_01,
LED-SCENARIO_G06_DUPLICATE_ORDER-0002,MORD-02,SALES_REVENUE,credit,0.00,5600.00,INR,2026-08-10,pay_g06_02,
LED-SCENARIO_G06_DUPLICATE_ORDER-0003,MORD-03,SALES_REVENUE,credit,0.00,9900.00,INR,2026-08-10,pay_g06_03,
LED-SCENARIO_G06_DUPLICATE_ORDER-0004,MORD-04,SALES_REVENUE,credit,0.00,42892.00,INR,2026-08-10,pay_g06_pad01,
LED-SCENARIO_G06_DUPLICATE_ORDER-0005,MORD-05,SALES_REVENUE,credit,0.00,32803.00,INR,2026-08-10,pay_g06_pad02,
LED-SCENARIO_G06_DUPLICATE_ORDER-0006,MORD-06,SALES_REVENUE,credit,0.00,21585.00,INR,2026-08-12,pay_g06_pad03,
LED-SCENARIO_G06_DUPLICATE_ORDER-0007,MORD-07,SALES_REVENUE,credit,0.00,10152.00,INR,2026-08-10,pay_g06_pad04,
LED-SCENARIO_G06_DUPLICATE_ORDER-0008,MORD-08,SALES_REVENUE,credit,0.00,6132.00,INR,2026-08-13,pay_g06_pad05,
LED-SCENARIO_G06_DUPLICATE_ORDER-0009,MORD-09,SALES_REVENUE,credit,0.00,36988.00,INR,2026-08-12,pay_g06_pad06,
LED-SCENARIO_G06_DUPLICATE_ORDER-0010,MORD-10,SALES_REVENUE,credit,0.00,4114.00,INR,2026-08-11,pay_g06_pad07,
LED-SCENARIO_G06_DUPLICATE_ORDER-0011,MORD-11,SALES_REVENUE,credit,0.00,23588.00,INR,2026-08-12,pay_g06_pad08,
LED-SCENARIO_G06_DUPLICATE_ORDER-0012,MORD-12,SALES_REVENUE,credit,0.00,6765.00,INR,2026-08-13,pay_g06_pad09,
LED-SCENARIO_G06_DUPLICATE_ORDER-0013,MORD-13,SALES_REVENUE,credit,0.00,6290.00,INR,2026-08-13,pay_g06_pad10,
LED-SCENARIO_G06_DUPLICATE_ORDER-0014,MORD-14,SALES_REVENUE,credit,0.00,3183.00,INR,2026-08-13,pay_g06_pad11,
LED-SCENARIO_G06_DUPLICATE_ORDER-0015,MORD-15,SALES_REVENUE,credit,0.00,38739.00,INR,2026-08-10,pay_g06_pad12,
LED-SCENARIO_G06_DUPLICATE_ORDER-0016,MORD-16,SALES_REVENUE,credit,0.00,42157.00,INR,2026-08-13,pay_g06_pad13,
LED-SCENARIO_G06_DUPLICATE_ORDER-0017,MORD-17,SALES_REVENUE,credit,0.00,26049.00,INR,2026-08-14,pay_g06_pad14,
LED-SCENARIO_G06_DUPLICATE_ORDER-0018,MORD-18,SALES_REVENUE,credit,0.00,2015.00,INR,2026-08-14,pay_g06_pad15,
LED-SCENARIO_G06_DUPLICATE_ORDER-0019,MORD-19,SALES_REVENUE,credit,0.00,5934.00,INR,2026-08-10,pay_g06_pad16,
LED-SCENARIO_G06_DUPLICATE_ORDER-0020,MORD-20,SALES_REVENUE,credit,0.00,7140.00,INR,2026-08-10,pay_g06_pad17,
LED-SCENARIO_G06_DUPLICATE_ORDER-0021,MORD-21,SALES_REVENUE,credit,0.00,18056.00,INR,2026-08-13,pay_g06_pad18,
LED-SCENARIO_G06_DUPLICATE_ORDER-0022,MORD-22,SALES_REVENUE,credit,0.00,22836.00,INR,2026-08-13,pay_g06_pad19,
LED-SCENARIO_G06_DUPLICATE_ORDER-0023,MORD-23,SALES_REVENUE,credit,0.00,39273.00,INR,2026-08-13,pay_g06_pad20,
LED-SCENARIO_G06_DUPLICATE_ORDER-0024,MORD-24,SALES_REVENUE,credit,0.00,30070.00,INR,2026-08-13,pay_g06_pad21,
LED-SCENARIO_G06_DUPLICATE_ORDER-0025,MORD-25,SALES_REVENUE,credit,0.00,36671.00,INR,2026-08-10,pay_g06_pad22,
LED-SCENARIO_G06_DUPLICATE_ORDER-0026,MORD-26,SALES_REVENUE,credit,0.00,35193.00,INR,2026-08-14,pay_g06_pad23,
LED-SCENARIO_G06_DUPLICATE_ORDER-0027,MORD-27,SALES_REVENUE,credit,0.00,3152.00,INR,2026-08-12,pay_g06_pad24,
LED-SCENARIO_G06_DUPLICATE_ORDER-0028,MORD-28,SALES_REVENUE,credit,0.00,40605.00,INR,2026-08-10,pay_g06_pad25,
LED-SCENARIO_G06_DUPLICATE_ORDER-0029,MORD-29,SALES_REVENUE,credit,0.00,32719.00,INR,2026-08-10,pay_g06_pad26,
