merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_TYH9qFPBZgOwbS,14000.00,INR,paid,2026-08-10
MORD-02,order_TYH9oSn7w6l7p7,5600.00,INR,paid,2026-08-10
MORD-03,order_TYH9oSnxWs1YZz,9900.00,INR,paid,2026-08-10
MORD-02-DUP,order_TYH9oSn7w6l7p7,5600.00,INR,paid,2026-08-10
MORD-04,order_TYH9qWT4RYKWKf,42892.00,INR,paid,2026-08-10
MORD-05,order_TYH9qWJ2iV02v2,32803.00,INR,paid,2026-08-10
MORD-06,order_TYH9qLyVtjlQ6W,21585.00,INR,paid,2026-08-12
MORD-07,order_TYH9qVgN04lhHs,10152.00,INR,paid,2026-08-10
MORD-08,order_TYH9qcnvSMbG9D,6132.00,INR,paid,2026-08-13
MORD-09,order_TYH9sQ162qq0H8,36988.00,INR,paid,2026-08-12
MORD-10,order_TYH9qcefkwrpCO,4114.00,INR,paid,2026-08-11
MORD-11,order_TYH9sUpvTdgivH,23588.00,INR,paid,2026-08-12
MORD-12,order_TYH9sYgPOlynrt,6765.00,INR,paid,2026-08-13
MORD-13,order_TYH9sYGKAEtEN7,6290.00,INR,paid,2026-08-13
MORD-14,order_TYH9sczMTm6bJB,3183.00,INR,paid,2026-08-13
MORD-15,order_TYH9sgeFoy0AG3,38739.00,INR,paid,2026-08-10
MORD-16,order_TYH9shfo8MYwPJ,42157.00,INR,paid,2026-08-13
MORD-17,order_TYH9uUvN7OKANG,26049.00,INR,paid,2026-08-14
MORD-18,order_TYH9uZN4oK9u3N,2015.00,INR,paid,2026-08-14
MORD-19,order_TYH9uZ2VmaJ6Ie,5934.00,INR,paid,2026-08-10
MORD-20,order_TYH9ucyyqMM0C1,7140.00,INR,paid,2026-08-10
MORD-21,order_TYH9ugIkxGcxOO,18056.00,INR,paid,2026-08-13
MORD-22,order_TYH9ufuSVvRm0R,22836.00,INR,paid,2026-08-13
MORD-23,order_TYH9ulHQD5XVzA,39273.00,INR,paid,2026-08-13
MORD-24,order_TYH9wZiVNS3B7u,30070.00,INR,paid,2026-08-13
MORD-25,order_TYH9wZiFFUUl8H,36671.00,INR,paid,2026-08-10
MORD-26,order_TYH9waGqGzdaAF,35193.00,INR,paid,2026-08-14
MORD-27,order_TYH9whwbbc3eCJ,3152.00,INR,paid,2026-08-12
MORD-28,order_TYH9wgP9K25Txy,40605.00,INR,paid,2026-08-10
MORD-29,order_TYH9wgL85mMubf,32719.00,INR,paid,2026-08-10
