order_ref,razorpay_payment_id,amount,date,notes
MORD-01,pay_g07_01,11000.00,2026-08-10,
MORD-02,pay_g07_02,7700.00,2026-08-10,
MORD-01-DUP,pay_g07_01,11000.00,2026-08-10,possible double-entry
MORD-03,pay_g07_pad01,8598.00,2026-08-13,
MORD-04,pay_g07_pad02,41472.00,2026-08-13,
MORD-05,pay_g07_pad03,17966.00,2026-08-10,
MORD-06,pay_g07_pad04,25314.00,2026-08-12,
MORD-07,pay_g07_pad05,10586.00,2026-08-14,
MORD-08,pay_g07_pad06,14475.00,2026-08-14,
MORD-09,pay_g07_pad07,12315.00,2026-08-12,
MORD-10,pay_g07_pad08,44453.00,2026-08-13,
MORD-11,pay_g07_pad09,33857.00,2026-08-11,
MORD-12,pay_g07_pad10,22627.00,2026-08-13,
MORD-13,pay_g07_pad11,44840.00,2026-08-12,
MORD-14,pay_g07_pad12,14209.00,2026-08-13,
MORD-15,pay_g07_pad13,14326.00,2026-08-11,
MORD-16,pay_g07_pad14,26393.00,2026-08-11,
MORD-17,pay_g07_pad15,39414.00,2026-08-12,
MORD-18,pay_g07_pad16,14955.00,2026-08-11,
MORD-19,pay_g07_pad17,10018.00,2026-08-13,
MORD-20,pay_g07_pad18,24186.00,2026-08-10,
MORD-21,pay_g07_pad19,5403.00,2026-08-12,
MORD-22,pay_g07_pad20,12284.00,2026-08-10,
MORD-23,pay_g07_pad21,30733.00,2026-08-13,
