order_ref,razorpay_order_id,amount,date
MORD-01,order_g07_01,11000.00,2026-08-10
MORD-02,order_g07_02,7700.00,2026-08-10
MORD-03,order_g07_pad01,8598.00,2026-08-13
MORD-04,order_g07_pad02,41472.00,2026-08-13
MORD-05,order_g07_pad03,17966.00,2026-08-10
MORD-06,order_g07_pad04,25314.00,2026-08-12
MORD-07,order_g07_pad05,10586.00,2026-08-14
MORD-08,order_g07_pad06,14475.00,2026-08-14
MORD-09,order_g07_pad07,12315.00,2026-08-12
MORD-10,order_g07_pad08,44453.00,2026-08-13
MORD-11,order_g07_pad09,33857.00,2026-08-11
MORD-12,order_g07_pad10,22627.00,2026-08-13
MORD-13,order_g07_pad11,44840.00,2026-08-12
MORD-14,order_g07_pad12,14209.00,2026-08-13
MORD-15,order_g07_pad13,14326.00,2026-08-11
MORD-16,order_g07_pad14,26393.00,2026-08-11
MORD-17,order_g07_pad15,39414.00,2026-08-12
MORD-18,order_g07_pad16,14955.00,2026-08-11
MORD-19,order_g07_pad17,10018.00,2026-08-13
MORD-20,order_g07_pad18,24186.00,2026-08-10
MORD-21,order_g07_pad19,5403.00,2026-08-12
MORD-22,order_g07_pad20,12284.00,2026-08-10
MORD-23,order_g07_pad21,30733.00,2026-08-13
