ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0001,MORD-01,SALES_REVENUE,credit,0.00,11000.00,INR,2026-08-10,pay_g07_01,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0002,MORD-02,SALES_REVENUE,credit,0.00,7700.00,INR,2026-08-10,pay_g07_02,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0003,MORD-01-DUP,SALES_REVENUE,credit,0.00,11000.00,INR,2026-08-10,pay_g07_01,possible double-entry
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0004,MORD-03,SALES_REVENUE,credit,0.00,8598.00,INR,2026-08-13,pay_g07_pad01,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0005,MORD-04,SALES_REVENUE,credit,0.00,41472.00,INR,2026-08-13,pay_g07_pad02,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0006,MORD-05,SALES_REVENUE,credit,0.00,17966.00,INR,2026-08-10,pay_g07_pad03,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0007,MORD-06,SALES_REVENUE,credit,0.00,25314.00,INR,2026-08-12,pay_g07_pad04,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0008,MORD-07,SALES_REVENUE,credit,0.00,10586.00,INR,2026-08-14,pay_g07_pad05,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0009,MORD-08,SALES_REVENUE,credit,0.00,14475.00,INR,2026-08-14,pay_g07_pad06,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0010,MORD-09,SALES_REVENUE,credit,0.00,12315.00,INR,2026-08-12,pay_g07_pad07,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0011,MORD-10,SALES_REVENUE,credit,0.00,44453.00,INR,2026-08-13,pay_g07_pad08,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0012,MORD-11,SALES_REVENUE,credit,0.00,33857.00,INR,2026-08-11,pay_g07_pad09,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0013,MORD-12,SALES_REVENUE,credit,0.00,22627.00,INR,2026-08-13,pay_g07_pad10,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0014,MORD-13,SALES_REVENUE,credit,0.00,44840.00,INR,2026-08-12,pay_g07_pad11,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0015,MORD-14,SALES_REVENUE,credit,0.00,14209.00,INR,2026-08-13,pay_g07_pad12,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0016,MORD-15,SALES_REVENUE,credit,0.00,14326.00,INR,2026-08-11,pay_g07_pad13,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0017,MORD-16,SALES_REVENUE,credit,0.00,26393.00,INR,2026-08-11,pay_g07_pad14,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0018,MORD-17,SALES_REVENUE,credit,0.00,39414.00,INR,2026-08-12,pay_g07_pad15,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0019,MORD-18,SALES_REVENUE,credit,0.00,14955.00,INR,2026-08-11,pay_g07_pad16,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0020,MORD-19,SALES_REVENUE,credit,0.00,10018.00,INR,2026-08-13,pay_g07_pad17,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0021,MORD-20,SALES_REVENUE,credit,0.00,24186.00,INR,2026-08-10,pay_g07_pad18,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0022,MORD-21,SALES_REVENUE,credit,0.00,5403.00,INR,2026-08-12,pay_g07_pad19,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0023,MORD-22,SALES_REVENUE,credit,0.00,12284.00,INR,2026-08-10,pay_g07_pad20,
LED-SCENARIO_G07_DUPLICATE_PAYMENT-0024,MORD-23,SALES_REVENUE,credit,0.00,30733.00,INR,2026-08-13,pay_g07_pad21,
