merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_TYH9yjqK8clXR1,11000.00,INR,paid,2026-08-10
MORD-02,order_TYH9wswQ1pZ1m6,7700.00,INR,paid,2026-08-10
MORD-03,order_TYH9yjmEL4OXqC,8598.00,INR,paid,2026-08-13
MORD-04,order_TYH9yntGwQmyAZ,41472.00,INR,paid,2026-08-13
MORD-05,order_TYH9ytinaTFhBk,17966.00,INR,paid,2026-08-10
MORD-06,order_TYH9yuKFHBErrC,25314.00,INR,paid,2026-08-12
MORD-07,order_TYH9yvcaeX92Wo,10586.00,INR,paid,2026-08-14
MORD-08,order_TYH9z00eJOvOf8,14475.00,INR,paid,2026-08-14
MORD-09,order_TYHA0jYqF5WwHq,12315.00,INR,paid,2026-08-12
MORD-10,order_TYHA0otpIPCdY4,44453.00,INR,paid,2026-08-13
MORD-11,order_TYHA0s68DQShnd,33857.00,INR,paid,2026-08-11
MORD-12,order_TYHA0t3gOL0VTn,22627.00,INR,paid,2026-08-13
MORD-13,order_TYHA0xDC6rXEb5,44840.00,INR,paid,2026-08-12
MORD-14,order_TYHA0yyYbj3cu9,14209.00,INR,paid,2026-08-13
MORD-15,order_TYHA11CYcH3soy,14326.00,INR,paid,2026-08-11
MORD-16,order_TYHA2q7z5e5JFe,26393.00,INR,paid,2026-08-11
MORD-17,order_TYHA2pybUWTW4Z,39414.00,INR,paid,2026-08-12
MORD-18,order_TYHA2sqpBloXFc,14955.00,INR,paid,2026-08-11
MORD-19,order_TYHA2waCMK4Dag,10018.00,INR,paid,2026-08-13
MORD-20,order_TYHA2wCbd5acqd,24186.00,INR,paid,2026-08-10
MORD-21,order_TYHA30YBMaRl5O,5403.00,INR,paid,2026-08-12
MORD-22,order_TYHA4mfpfxvqSu,12284.00,INR,paid,2026-08-10
MORD-23,order_TYHA32wS1dCIxG,30733.00,INR,paid,2026-08-13
