ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0001,MORD-01,SALES_REVENUE,credit,0.00,13500.00,INR,2026-08-10,pay_g08_01,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0002,MORD-02,SALES_REVENUE,credit,0.00,6200.00,INR,2026-08-10,pay_g08_02,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0003,MORD-03,SALES_REVENUE,credit,0.00,8900.00,INR,2026-08-10,pay_g08_DOES_NOT_EXIST,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0004,MORD-04,SALES_REVENUE,credit,0.00,15229.00,INR,2026-08-13,pay_g08_pad01,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0005,MORD-05,SALES_REVENUE,credit,0.00,26270.00,INR,2026-08-14,pay_g08_pad02,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0006,MORD-06,SALES_REVENUE,credit,0.00,33566.00,INR,2026-08-12,pay_g08_pad03,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0007,MORD-07,SALES_REVENUE,credit,0.00,42145.00,INR,2026-08-13,pay_g08_pad04,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0008,MORD-08,SALES_REVENUE,credit,0.00,22194.00,INR,2026-08-10,pay_g08_pad05,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0009,MORD-09,SALES_REVENUE,credit,0.00,3263.00,INR,2026-08-12,pay_g08_pad06,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0010,MORD-10,SALES_REVENUE,credit,0.00,41016.00,INR,2026-08-10,pay_g08_pad07,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0011,MORD-11,SALES_REVENUE,credit,0.00,45650.00,INR,2026-08-12,pay_g08_pad08,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0012,MORD-12,SALES_REVENUE,credit,0.00,38593.00,INR,2026-08-12,pay_g08_pad09,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0013,MORD-13,SALES_REVENUE,credit,0.00,21452.00,INR,2026-08-14,pay_g08_pad10,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0014,MORD-14,SALES_REVENUE,credit,0.00,2452.00,INR,2026-08-11,pay_g08_pad11,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0015,MORD-15,SALES_REVENUE,credit,0.00,27754.00,INR,2026-08-13,pay_g08_pad12,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0016,MORD-16,SALES_REVENUE,credit,0.00,13646.00,INR,2026-08-10,pay_g08_pad13,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0017,MORD-17,SALES_REVENUE,credit,0.00,18659.00,INR,2026-08-11,pay_g08_pad14,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0018,MORD-18,SALES_REVENUE,credit,0.00,10432.00,INR,2026-08-10,pay_g08_pad15,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0019,MORD-19,SALES_REVENUE,credit,0.00,42433.00,INR,2026-08-10,pay_g08_pad16,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0020,MORD-20,SALES_REVENUE,credit,0.00,30460.00,INR,2026-08-10,pay_g08_pad17,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0021,MORD-21,SALES_REVENUE,credit,0.00,42485.00,INR,2026-08-14,pay_g08_pad18,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0022,MORD-22,SALES_REVENUE,credit,0.00,44128.00,INR,2026-08-12,pay_g08_pad19,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0023,MORD-23,SALES_REVENUE,credit,0.00,6309.00,INR,2026-08-11,pay_g08_pad20,
LED-SCENARIO_G08_RAZORPAY_ORDER_NOT_FOUND-0024,MORD-24,SALES_REVENUE,credit,0.00,14264.00,INR,2026-08-13,pay_g08_pad21,
