merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_TYHA50qVvm04Cy,13500.00,INR,paid,2026-08-10
MORD-02,order_TYHA51NwIxWppO,6200.00,INR,paid,2026-08-10
MORD-03,order_g08_DOES_NOT_EXIST,8900.00,INR,paid,2026-08-10
MORD-04,order_TYHA57j6yfyPjz,15229.00,INR,paid,2026-08-13
MORD-05,order_TYHA5DOl0V9Gtz,26270.00,INR,paid,2026-08-14
MORD-06,order_TYHA5ApcK0mAXF,33566.00,INR,paid,2026-08-12
MORD-07,order_TYHA72tQZNJ6s3,42145.00,INR,paid,2026-08-13
MORD-08,order_TYHA72fVXnsLeO,22194.00,INR,paid,2026-08-10
MORD-09,order_TYHA73zDeUc1pD,3263.00,INR,paid,2026-08-12
MORD-10,order_TYHA7BFNFj5oc2,41016.00,INR,paid,2026-08-10
MORD-11,order_TYHA7BPwZGsuD5,45650.00,INR,paid,2026-08-12
MORD-12,order_TYHA7DU1NcEUp8,38593.00,INR,paid,2026-08-12
MORD-13,order_TYHA962CJ71W6M,21452.00,INR,paid,2026-08-14
MORD-14,order_TYHA97e9MfdigM,2452.00,INR,paid,2026-08-11
MORD-15,order_TYHA7JGxJjjNWx,27754.00,INR,paid,2026-08-13
MORD-16,order_TYHA9DbTRpJalD,13646.00,INR,paid,2026-08-10
MORD-17,order_TYHA9C4FHGX7Ge,18659.00,INR,paid,2026-08-11
MORD-18,order_TYHA9DPghDHa9O,10432.00,INR,paid,2026-08-10
MORD-19,order_TYHA9L0P7zJVrf,42433.00,INR,paid,2026-08-10
MORD-20,order_TYHA9L36C1vgnz,30460.00,INR,paid,2026-08-10
MORD-21,order_TYHABAY7xpJzla,42485.00,INR,paid,2026-08-14
MORD-22,order_TYHABDEyXqOZ3k,44128.00,INR,paid,2026-08-12
MORD-23,order_TYHABD3rUl6qMq,6309.00,INR,paid,2026-08-11
MORD-24,order_TYHABHoJ6riSKd,14264.00,INR,paid,2026-08-13
