ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0001,MORD-01,SALES_REVENUE,credit,0.00,40000.00,INR,2026-08-10,pay_g09_01,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0002,MORD-02,SALES_REVENUE,credit,0.00,12910.00,INR,2026-08-10,pay_g09_pad01,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0003,MORD-03,SALES_REVENUE,credit,0.00,32146.00,INR,2026-08-14,pay_g09_pad02,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0004,MORD-04,SALES_REVENUE,credit,0.00,3570.00,INR,2026-08-11,pay_g09_pad03,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0005,MORD-05,SALES_REVENUE,credit,0.00,16041.00,INR,2026-08-12,pay_g09_pad04,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0006,MORD-06,SALES_REVENUE,credit,0.00,23858.00,INR,2026-08-14,pay_g09_pad05,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0007,MORD-07,SALES_REVENUE,credit,0.00,35306.00,INR,2026-08-14,pay_g09_pad06,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0008,MORD-08,SALES_REVENUE,credit,0.00,41468.00,INR,2026-08-11,pay_g09_pad07,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0009,MORD-09,SALES_REVENUE,credit,0.00,26989.00,INR,2026-08-11,pay_g09_pad08,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0010,MORD-10,SALES_REVENUE,credit,0.00,6915.00,INR,2026-08-13,pay_g09_pad09,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0011,MORD-11,SALES_REVENUE,credit,0.00,26626.00,INR,2026-08-11,pay_g09_pad10,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0012,MORD-12,SALES_REVENUE,credit,0.00,30724.00,INR,2026-08-13,pay_g09_pad11,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0013,MORD-13,SALES_REVENUE,credit,0.00,14102.00,INR,2026-08-10,pay_g09_pad12,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0014,MORD-14,SALES_REVENUE,credit,0.00,25894.00,INR,2026-08-14,pay_g09_pad13,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0015,MORD-15,SALES_REVENUE,credit,0.00,38477.00,INR,2026-08-14,pay_g09_pad14,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0016,MORD-16,SALES_REVENUE,credit,0.00,23685.00,INR,2026-08-13,pay_g09_pad15,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0017,MORD-17,SALES_REVENUE,credit,0.00,22595.00,INR,2026-08-11,pay_g09_pad16,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0018,MORD-18,SALES_REVENUE,credit,0.00,7685.00,INR,2026-08-10,pay_g09_pad17,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0019,MORD-19,SALES_REVENUE,credit,0.00,15178.00,INR,2026-08-11,pay_g09_pad18,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0020,MORD-20,SALES_REVENUE,credit,0.00,26773.00,INR,2026-08-10,pay_g09_pad19,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0021,MORD-21,SALES_REVENUE,credit,0.00,21506.00,INR,2026-08-14,pay_g09_pad20,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0022,MORD-22,SALES_REVENUE,credit,0.00,22197.00,INR,2026-08-12,pay_g09_pad21,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0023,MORD-23,SALES_REVENUE,credit,0.00,2225.00,INR,2026-08-12,pay_g09_pad22,
LED-SCENARIO_G09_BANK_SETTLEMENT_AMOUNT_DIFFERENCE-0024,MORD-24,SALES_REVENUE,credit,0.00,34277.00,INR,2026-08-10,pay_g09_pad23,
