merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_TYHABSmj8vVVns,40000.00,INR,paid,2026-08-10
MORD-02,order_TYHABUAjNHefdE,12910.00,INR,paid,2026-08-10
MORD-03,order_TYHABSO4NlZ5MV,32146.00,INR,paid,2026-08-14
MORD-04,order_TYHADKgPIxcbFZ,3570.00,INR,paid,2026-08-11
MORD-05,order_TYHADL5QDNlFHM,16041.00,INR,paid,2026-08-12
MORD-06,order_TYHADKpxgRkeVE,23858.00,INR,paid,2026-08-14
MORD-07,order_TYHADTWz4jTxuV,35306.00,INR,paid,2026-08-14
MORD-08,order_TYHADRvtZGlrra,41468.00,INR,paid,2026-08-11
MORD-09,order_TYHADS8ZPlMLfa,26989.00,INR,paid,2026-08-11
MORD-10,order_TYHAFKEBYuYiU3,6915.00,INR,paid,2026-08-13
MORD-11,order_TYHADZHVzrR4I0,26626.00,INR,paid,2026-08-11
MORD-12,order_TYHAFKKy2fpyyV,30724.00,INR,paid,2026-08-13
MORD-13,order_TYHAFOydB1QLHk,14102.00,INR,paid,2026-08-10
MORD-14,order_TYHAFQP9SzqFGh,25894.00,INR,paid,2026-08-14
MORD-15,order_TYHAFQQULr5ni8,38477.00,INR,paid,2026-08-14
MORD-16,order_TYHAFXegSd5fTP,23685.00,INR,paid,2026-08-13
MORD-17,order_TYHAFX0apxD7NA,22595.00,INR,paid,2026-08-11
MORD-18,order_TYHAHL20WiqDIX,7685.00,INR,paid,2026-08-10
MORD-19,order_TYHAHSR1EOlA6u,15178.00,INR,paid,2026-08-11
MORD-20,order_TYHAHScvb0OWuR,26773.00,INR,paid,2026-08-10
MORD-21,order_TYHAHSCVUiSfHo,21506.00,INR,paid,2026-08-14
MORD-22,order_TYHAHbRbmXG7qC,22197.00,INR,paid,2026-08-12
MORD-23,order_TYHAHbqO46yMPE,2225.00,INR,paid,2026-08-12
MORD-24,order_TYHAHbtlB5nVF6,34277.00,INR,paid,2026-08-10
