order_ref,razorpay_payment_id,amount,date,notes
MORD-01,pay_g10_01,17000.00,2026-08-10,
MORD-02,pay_g10_02,9200.00,2026-08-10,
MORD-03,pay_g10_pad01,30094.00,2026-08-12,
MORD-04,pay_g10_pad02,37264.00,2026-08-13,
MORD-05,pay_g10_pad03,19239.00,2026-08-13,
MORD-06,pay_g10_pad04,3061.00,2026-08-11,
MORD-07,pay_g10_pad05,5398.00,2026-08-13,
MORD-08,pay_g10_pad06,3500.00,2026-08-11,
MORD-09,pay_g10_pad07,36138.00,2026-08-12,
MORD-10,pay_g10_pad08,10407.00,2026-08-13,
MORD-11,pay_g10_pad09,10943.00,2026-08-14,
MORD-12,pay_g10_pad10,35161.00,2026-08-13,
MORD-13,pay_g10_pad11,33481.00,2026-08-14,
MORD-14,pay_g10_pad12,6837.00,2026-08-11,
MORD-15,pay_g10_pad13,29997.00,2026-08-14,
MORD-16,pay_g10_pad14,37819.00,2026-08-12,
MORD-17,pay_g10_pad15,38000.00,2026-08-11,
MORD-18,pay_g10_pad16,35461.00,2026-08-14,
MORD-19,pay_g10_pad17,37898.00,2026-08-12,
MORD-20,pay_g10_pad18,21627.00,2026-08-13,
