order_ref,razorpay_order_id,amount,date
MORD-01,order_g10_01,17000.00,2026-08-10
MORD-02,order_g10_02,9200.00,2026-08-10
MORD-03,order_g10_pad01,30094.00,2026-08-12
MORD-04,order_g10_pad02,37264.00,2026-08-13
MORD-05,order_g10_pad03,19239.00,2026-08-13
MORD-06,order_g10_pad04,3061.00,2026-08-11
MORD-07,order_g10_pad05,5398.00,2026-08-13
MORD-08,order_g10_pad06,3500.00,2026-08-11
MORD-09,order_g10_pad07,36138.00,2026-08-12
MORD-10,order_g10_pad08,10407.00,2026-08-13
MORD-11,order_g10_pad09,10943.00,2026-08-14
MORD-12,order_g10_pad10,35161.00,2026-08-13
MORD-13,order_g10_pad11,33481.00,2026-08-14
MORD-14,order_g10_pad12,6837.00,2026-08-11
MORD-15,order_g10_pad13,29997.00,2026-08-14
MORD-16,order_g10_pad14,37819.00,2026-08-12
MORD-17,order_g10_pad15,38000.00,2026-08-11
MORD-18,order_g10_pad16,35461.00,2026-08-14
MORD-19,order_g10_pad17,37898.00,2026-08-12
MORD-20,order_g10_pad18,21627.00,2026-08-13
