ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0001,MORD-01,SALES_REVENUE,credit,0.00,17000.00,INR,2026-08-10,pay_g10_01,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0002,MORD-02,SALES_REVENUE,credit,0.00,9200.00,INR,2026-08-10,pay_g10_02,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0003,MORD-03,SALES_REVENUE,credit,0.00,30094.00,INR,2026-08-12,pay_g10_pad01,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0004,MORD-04,SALES_REVENUE,credit,0.00,37264.00,INR,2026-08-13,pay_g10_pad02,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0005,MORD-05,SALES_REVENUE,credit,0.00,19239.00,INR,2026-08-13,pay_g10_pad03,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0006,MORD-06,SALES_REVENUE,credit,0.00,3061.00,INR,2026-08-11,pay_g10_pad04,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0007,MORD-07,SALES_REVENUE,credit,0.00,5398.00,INR,2026-08-13,pay_g10_pad05,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0008,MORD-08,SALES_REVENUE,credit,0.00,3500.00,INR,2026-08-11,pay_g10_pad06,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0009,MORD-09,SALES_REVENUE,credit,0.00,36138.00,INR,2026-08-12,pay_g10_pad07,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0010,MORD-10,SALES_REVENUE,credit,0.00,10407.00,INR,2026-08-13,pay_g10_pad08,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0011,MORD-11,SALES_REVENUE,credit,0.00,10943.00,INR,2026-08-14,pay_g10_pad09,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0012,MORD-12,SALES_REVENUE,credit,0.00,35161.00,INR,2026-08-13,pay_g10_pad10,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0013,MORD-13,SALES_REVENUE,credit,0.00,33481.00,INR,2026-08-14,pay_g10_pad11,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0014,MORD-14,SALES_REVENUE,credit,0.00,6837.00,INR,2026-08-11,pay_g10_pad12,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0015,MORD-15,SALES_REVENUE,credit,0.00,29997.00,INR,2026-08-14,pay_g10_pad13,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0016,MORD-16,SALES_REVENUE,credit,0.00,37819.00,INR,2026-08-12,pay_g10_pad14,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0017,MORD-17,SALES_REVENUE,credit,0.00,38000.00,INR,2026-08-11,pay_g10_pad15,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0018,MORD-18,SALES_REVENUE,credit,0.00,35461.00,INR,2026-08-14,pay_g10_pad16,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0019,MORD-19,SALES_REVENUE,credit,0.00,37898.00,INR,2026-08-12,pay_g10_pad17,
LED-SCENARIO_G10_MISSING_BANK_TRANSACTION-0020,MORD-20,SALES_REVENUE,credit,0.00,21627.00,INR,2026-08-13,pay_g10_pad18,
