merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_TYHAJbESBxwCDF,17000.00,INR,paid,2026-08-10
MORD-02,order_TYHAJb5VgtPg6H,9200.00,INR,paid,2026-08-10
MORD-03,order_TYHAJbK9TNbE6z,30094.00,INR,paid,2026-08-12
MORD-04,order_TYHAJiC29rw7I1,37264.00,INR,paid,2026-08-13
MORD-05,order_TYHAJizPVCA94n,19239.00,INR,paid,2026-08-13
MORD-06,order_TYHAJj6VBYBBze,3061.00,INR,paid,2026-08-11
MORD-07,order_TYHALZUWSHnPLU,5398.00,INR,paid,2026-08-13
MORD-08,order_TYHALZE73UP5nB,3500.00,INR,paid,2026-08-11
MORD-09,order_TYHAJq8i5wkL3d,36138.00,INR,paid,2026-08-12
MORD-10,order_TYHALg4eP1eqTF,10407.00,INR,paid,2026-08-13
MORD-11,order_TYHALgq4rSRsqv,10943.00,INR,paid,2026-08-14
MORD-12,order_TYHALk2QCW6eZn,35161.00,INR,paid,2026-08-13
MORD-13,order_TYHALnk9mGz8rl,33481.00,INR,paid,2026-08-14
MORD-14,order_TYHALnf8X11m0k,6837.00,INR,paid,2026-08-11
MORD-15,order_TYHANanQZ7fXCL,29997.00,INR,paid,2026-08-14
MORD-16,order_TYHANfYr6Q5hJ3,37819.00,INR,paid,2026-08-12
MORD-17,order_TYHANfHcu45zMC,38000.00,INR,paid,2026-08-11
MORD-18,order_TYHANhfoQeQGJ6,35461.00,INR,paid,2026-08-14
MORD-19,order_TYHANm8iV7ykPE,37898.00,INR,paid,2026-08-12
MORD-20,order_TYHANlo6uDUssQ,21627.00,INR,paid,2026-08-13
