order_ref,razorpay_payment_id,amount,date,notes
MORD-01,pay_g11_02,21000.00,2026-08-15,
MORD-02,pay_g11_02,21000.00,2026-08-20,
MORD-03,pay_g11_pad01,14847.00,2026-08-17,
MORD-04,pay_g11_pad02,10450.00,2026-08-19,
MORD-05,pay_g11_pad03,35555.00,2026-08-17,
MORD-06,pay_g11_pad04,38751.00,2026-08-18,
MORD-07,pay_g11_pad05,14370.00,2026-08-18,
MORD-08,pay_g11_pad06,36320.00,2026-08-15,
MORD-09,pay_g11_pad07,34176.00,2026-08-15,
MORD-10,pay_g11_pad08,40864.00,2026-08-18,
MORD-11,pay_g11_pad09,3018.00,2026-08-19,
MORD-12,pay_g11_pad10,4080.00,2026-08-19,
MORD-13,pay_g11_pad11,27452.00,2026-08-19,
MORD-14,pay_g11_pad12,38088.00,2026-08-15,
MORD-15,pay_g11_pad13,33380.00,2026-08-15,
MORD-16,pay_g11_pad14,12129.00,2026-08-15,
MORD-17,pay_g11_pad15,36505.00,2026-08-18,
MORD-18,pay_g11_pad16,28317.00,2026-08-18,
MORD-19,pay_g11_pad17,18843.00,2026-08-16,
MORD-20,pay_g11_pad18,32209.00,2026-08-18,
MORD-21,pay_g11_pad19,9520.00,2026-08-17,
MORD-22,pay_g11_pad20,29621.00,2026-08-18,
MORD-23,pay_g11_pad21,35605.00,2026-08-17,
MORD-24,pay_g11_pad22,8318.00,2026-08-16,
MORD-25,pay_g11_pad23,28694.00,2026-08-19,
MORD-26,pay_g11_pad24,3127.00,2026-08-17,
MORD-27,pay_g11_pad25,9684.00,2026-08-15,
MORD-28,pay_g11_pad26,3534.00,2026-08-16,
MORD-29,pay_g11_pad27,11392.00,2026-08-16,
