ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0001,MORD-01,SALES_REVENUE,credit,0.00,21000.00,INR,2026-08-15,pay_g11_02,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0002,MORD-02,SALES_REVENUE,credit,0.00,21000.00,INR,2026-08-20,pay_g11_02,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0003,MORD-03,SALES_REVENUE,credit,0.00,14847.00,INR,2026-08-17,pay_g11_pad01,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0004,MORD-04,SALES_REVENUE,credit,0.00,10450.00,INR,2026-08-19,pay_g11_pad02,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0005,MORD-05,SALES_REVENUE,credit,0.00,35555.00,INR,2026-08-17,pay_g11_pad03,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0006,MORD-06,SALES_REVENUE,credit,0.00,38751.00,INR,2026-08-18,pay_g11_pad04,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0007,MORD-07,SALES_REVENUE,credit,0.00,14370.00,INR,2026-08-18,pay_g11_pad05,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0008,MORD-08,SALES_REVENUE,credit,0.00,36320.00,INR,2026-08-15,pay_g11_pad06,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0009,MORD-09,SALES_REVENUE,credit,0.00,34176.00,INR,2026-08-15,pay_g11_pad07,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0010,MORD-10,SALES_REVENUE,credit,0.00,40864.00,INR,2026-08-18,pay_g11_pad08,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0011,MORD-11,SALES_REVENUE,credit,0.00,3018.00,INR,2026-08-19,pay_g11_pad09,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0012,MORD-12,SALES_REVENUE,credit,0.00,4080.00,INR,2026-08-19,pay_g11_pad10,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0013,MORD-13,SALES_REVENUE,credit,0.00,27452.00,INR,2026-08-19,pay_g11_pad11,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0014,MORD-14,SALES_REVENUE,credit,0.00,38088.00,INR,2026-08-15,pay_g11_pad12,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0015,MORD-15,SALES_REVENUE,credit,0.00,33380.00,INR,2026-08-15,pay_g11_pad13,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0016,MORD-16,SALES_REVENUE,credit,0.00,12129.00,INR,2026-08-15,pay_g11_pad14,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0017,MORD-17,SALES_REVENUE,credit,0.00,36505.00,INR,2026-08-18,pay_g11_pad15,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0018,MORD-18,SALES_REVENUE,credit,0.00,28317.00,INR,2026-08-18,pay_g11_pad16,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0019,MORD-19,SALES_REVENUE,credit,0.00,18843.00,INR,2026-08-16,pay_g11_pad17,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0020,MORD-20,SALES_REVENUE,credit,0.00,32209.00,INR,2026-08-18,pay_g11_pad18,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0021,MORD-21,SALES_REVENUE,credit,0.00,9520.00,INR,2026-08-17,pay_g11_pad19,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0022,MORD-22,SALES_REVENUE,credit,0.00,29621.00,INR,2026-08-18,pay_g11_pad20,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0023,MORD-23,SALES_REVENUE,credit,0.00,35605.00,INR,2026-08-17,pay_g11_pad21,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0024,MORD-24,SALES_REVENUE,credit,0.00,8318.00,INR,2026-08-16,pay_g11_pad22,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0025,MORD-25,SALES_REVENUE,credit,0.00,28694.00,INR,2026-08-19,pay_g11_pad23,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0026,MORD-26,SALES_REVENUE,credit,0.00,3127.00,INR,2026-08-17,pay_g11_pad24,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0027,MORD-27,SALES_REVENUE,credit,0.00,9684.00,INR,2026-08-15,pay_g11_pad25,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0028,MORD-28,SALES_REVENUE,credit,0.00,3534.00,INR,2026-08-16,pay_g11_pad26,
LED-SCENARIO_G11_WRONG_REFERENCE_MAPPING-0029,MORD-29,SALES_REVENUE,credit,0.00,11392.00,INR,2026-08-16,pay_g11_pad27,
