order_ref,razorpay_order_id,amount,date
MORD-01,order_g12_01,16500.00,2026-09-03
MORD-02,order_g12_02,4400.00,2026-09-03
MORD-03,order_g12_pad01,19817.00,2026-09-05
MORD-04,order_g12_pad02,24488.00,2026-09-04
MORD-05,order_g12_pad03,41817.00,2026-09-06
MORD-06,order_g12_pad04,8073.00,2026-09-06
MORD-07,order_g12_pad05,39357.00,2026-09-03
MORD-08,order_g12_pad06,34654.00,2026-09-07
MORD-09,order_g12_pad07,17620.00,2026-09-04
MORD-10,order_g12_pad08,35957.00,2026-09-06
MORD-11,order_g12_pad09,2723.00,2026-09-06
MORD-12,order_g12_pad10,42684.00,2026-09-06
MORD-13,order_g12_pad11,35891.00,2026-09-07
MORD-14,order_g12_pad12,11667.00,2026-09-07
MORD-15,order_g12_pad13,14586.00,2026-09-07
MORD-16,order_g12_pad14,43042.00,2026-09-04
MORD-17,order_g12_pad15,35909.00,2026-09-04
MORD-18,order_g12_pad16,36782.00,2026-09-07
MORD-19,order_g12_pad17,39646.00,2026-09-04
MORD-20,order_g12_pad18,16447.00,2026-09-05
