ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G12_PENDING_SETTLEMENT-0001,MORD-01,SALES_REVENUE,credit,0.00,16500.00,INR,2026-09-03,pay_g12_01,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0002,MORD-02,SALES_REVENUE,credit,0.00,4400.00,INR,2026-09-03,pay_g12_02,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0003,MORD-03,SALES_REVENUE,credit,0.00,19817.00,INR,2026-09-05,pay_g12_pad01,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0004,MORD-04,SALES_REVENUE,credit,0.00,24488.00,INR,2026-09-04,pay_g12_pad02,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0005,MORD-05,SALES_REVENUE,credit,0.00,41817.00,INR,2026-09-06,pay_g12_pad03,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0006,MORD-06,SALES_REVENUE,credit,0.00,8073.00,INR,2026-09-06,pay_g12_pad04,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0007,MORD-07,SALES_REVENUE,credit,0.00,39357.00,INR,2026-09-03,pay_g12_pad05,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0008,MORD-08,SALES_REVENUE,credit,0.00,34654.00,INR,2026-09-07,pay_g12_pad06,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0009,MORD-09,SALES_REVENUE,credit,0.00,17620.00,INR,2026-09-04,pay_g12_pad07,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0010,MORD-10,SALES_REVENUE,credit,0.00,35957.00,INR,2026-09-06,pay_g12_pad08,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0011,MORD-11,SALES_REVENUE,credit,0.00,2723.00,INR,2026-09-06,pay_g12_pad09,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0012,MORD-12,SALES_REVENUE,credit,0.00,42684.00,INR,2026-09-06,pay_g12_pad10,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0013,MORD-13,SALES_REVENUE,credit,0.00,35891.00,INR,2026-09-07,pay_g12_pad11,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0014,MORD-14,SALES_REVENUE,credit,0.00,11667.00,INR,2026-09-07,pay_g12_pad12,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0015,MORD-15,SALES_REVENUE,credit,0.00,14586.00,INR,2026-09-07,pay_g12_pad13,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0016,MORD-16,SALES_REVENUE,credit,0.00,43042.00,INR,2026-09-04,pay_g12_pad14,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0017,MORD-17,SALES_REVENUE,credit,0.00,35909.00,INR,2026-09-04,pay_g12_pad15,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0018,MORD-18,SALES_REVENUE,credit,0.00,36782.00,INR,2026-09-07,pay_g12_pad16,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0019,MORD-19,SALES_REVENUE,credit,0.00,39646.00,INR,2026-09-04,pay_g12_pad17,
LED-SCENARIO_G12_PENDING_SETTLEMENT-0020,MORD-20,SALES_REVENUE,credit,0.00,16447.00,INR,2026-09-05,pay_g12_pad18,
