merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_TYHAY3DnbHcsEz,16500.00,INR,paid,2026-09-03
MORD-02,order_TYHAY3fWdvjQtg,4400.00,INR,paid,2026-09-03
MORD-03,order_TYHAY49P3c3T97,19817.00,INR,paid,2026-09-05
MORD-04,order_TYHAYAsLfoNBcb,24488.00,INR,paid,2026-09-04
MORD-05,order_TYHAYBL0zLcY1l,41817.00,INR,paid,2026-09-06
MORD-06,order_TYHAYB5psidBo1,8073.00,INR,paid,2026-09-06
MORD-07,order_TYHAYHkHyujTBr,39357.00,INR,paid,2026-09-03
MORD-08,order_TYHAa0gmXOywV4,34654.00,INR,paid,2026-09-07
MORD-09,order_TYHAa0jJ3yYnPb,17620.00,INR,paid,2026-09-04
MORD-10,order_TYHAaDy4dZuZMQ,35957.00,INR,paid,2026-09-06
MORD-11,order_TYHAa99ns1xb2w,2723.00,INR,paid,2026-09-06
MORD-12,order_TYHAa9Q97alR5J,42684.00,INR,paid,2026-09-06
MORD-13,order_TYHAaIs1irFwNl,35891.00,INR,paid,2026-09-07
MORD-14,order_TYHAaH8BXS8cVo,11667.00,INR,paid,2026-09-07
MORD-15,order_TYHAc4EAz5zRST,14586.00,INR,paid,2026-09-07
MORD-16,order_TYHAc78aokDE4u,43042.00,INR,paid,2026-09-04
MORD-17,order_TYHAc8ZI48t5hq,35909.00,INR,paid,2026-09-04
MORD-18,order_TYHAc9iCCzLrCp,36782.00,INR,paid,2026-09-07
MORD-19,order_TYHAcDKdKOrIle,39646.00,INR,paid,2026-09-04
MORD-20,order_TYHAcG9ReDk1jC,16447.00,INR,paid,2026-09-05
