order_ref,razorpay_order_id,amount,date
MORD-01,order_g13_01,24000.00,2026-08-16
MORD-02,order_g13_pad01,21901.00,2026-08-20
MORD-03,order_g13_pad02,21843.00,2026-08-17
MORD-04,order_g13_pad03,15496.00,2026-08-17
MORD-05,order_g13_pad04,7547.00,2026-08-17
MORD-06,order_g13_pad05,16885.00,2026-08-17
MORD-07,order_g13_pad06,6976.00,2026-08-18
MORD-08,order_g13_pad07,26621.00,2026-08-16
MORD-09,order_g13_pad08,29694.00,2026-08-19
MORD-10,order_g13_pad09,36804.00,2026-08-17
MORD-11,order_g13_pad10,14349.00,2026-08-19
MORD-12,order_g13_pad11,42356.00,2026-08-16
MORD-13,order_g13_pad12,7495.00,2026-08-17
MORD-14,order_g13_pad13,38548.00,2026-08-18
MORD-15,order_g13_pad14,24879.00,2026-08-16
MORD-16,order_g13_pad15,34340.00,2026-08-18
MORD-17,order_g13_pad16,34150.00,2026-08-17
MORD-18,order_g13_pad17,5823.00,2026-08-19
MORD-19,order_g13_pad18,8158.00,2026-08-16
MORD-20,order_g13_pad19,3653.00,2026-08-20
MORD-21,order_g13_pad20,41397.00,2026-08-20
MORD-22,order_g13_pad21,38473.00,2026-08-19
