ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0001,MORD-01,SALES_REVENUE,credit,0.00,24000.00,INR,2026-08-16,pay_g13_01,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0002,MORD-02,SALES_REVENUE,credit,0.00,21901.00,INR,2026-08-20,pay_g13_pad01,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0003,MORD-03,SALES_REVENUE,credit,0.00,21843.00,INR,2026-08-17,pay_g13_pad02,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0004,MORD-04,SALES_REVENUE,credit,0.00,15496.00,INR,2026-08-17,pay_g13_pad03,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0005,MORD-05,SALES_REVENUE,credit,0.00,7547.00,INR,2026-08-17,pay_g13_pad04,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0006,MORD-06,SALES_REVENUE,credit,0.00,16885.00,INR,2026-08-17,pay_g13_pad05,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0007,MORD-07,SALES_REVENUE,credit,0.00,6976.00,INR,2026-08-18,pay_g13_pad06,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0008,MORD-08,SALES_REVENUE,credit,0.00,26621.00,INR,2026-08-16,pay_g13_pad07,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0009,MORD-09,SALES_REVENUE,credit,0.00,29694.00,INR,2026-08-19,pay_g13_pad08,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0010,MORD-10,SALES_REVENUE,credit,0.00,36804.00,INR,2026-08-17,pay_g13_pad09,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0011,MORD-11,SALES_REVENUE,credit,0.00,14349.00,INR,2026-08-19,pay_g13_pad10,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0012,MORD-12,SALES_REVENUE,credit,0.00,42356.00,INR,2026-08-16,pay_g13_pad11,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0013,MORD-13,SALES_REVENUE,credit,0.00,7495.00,INR,2026-08-17,pay_g13_pad12,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0014,MORD-14,SALES_REVENUE,credit,0.00,38548.00,INR,2026-08-18,pay_g13_pad13,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0015,MORD-15,SALES_REVENUE,credit,0.00,24879.00,INR,2026-08-16,pay_g13_pad14,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0016,MORD-16,SALES_REVENUE,credit,0.00,34340.00,INR,2026-08-18,pay_g13_pad15,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0017,MORD-17,SALES_REVENUE,credit,0.00,34150.00,INR,2026-08-17,pay_g13_pad16,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0018,MORD-18,SALES_REVENUE,credit,0.00,5823.00,INR,2026-08-19,pay_g13_pad17,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0019,MORD-19,SALES_REVENUE,credit,0.00,8158.00,INR,2026-08-16,pay_g13_pad18,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0020,MORD-20,SALES_REVENUE,credit,0.00,3653.00,INR,2026-08-20,pay_g13_pad19,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0021,MORD-21,SALES_REVENUE,credit,0.00,41397.00,INR,2026-08-20,pay_g13_pad20,
LED-SCENARIO_G13_MULTI_SOURCE_DISAGREEMENT-0022,MORD-22,SALES_REVENUE,credit,0.00,38473.00,INR,2026-08-19,pay_g13_pad21,
