ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0001,MORD-01,SALES_REVENUE,credit,0.00,12800.00,INR,2026-08-01,pay_g14_01,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0002,MORD-02,SALES_REVENUE,credit,0.00,13623.00,INR,2026-08-02,pay_g14_pad01,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0003,MORD-03,SALES_REVENUE,credit,0.00,8733.00,INR,2026-08-02,pay_g14_pad02,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0004,MORD-04,SALES_REVENUE,credit,0.00,12504.00,INR,2026-08-02,pay_g14_pad03,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0005,MORD-05,SALES_REVENUE,credit,0.00,19752.00,INR,2026-08-01,pay_g14_pad04,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0006,MORD-06,SALES_REVENUE,credit,0.00,39196.00,INR,2026-08-01,pay_g14_pad05,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0007,MORD-07,SALES_REVENUE,credit,0.00,10011.00,INR,2026-08-04,pay_g14_pad06,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0008,MORD-08,SALES_REVENUE,credit,0.00,6285.00,INR,2026-08-01,pay_g14_pad07,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0009,MORD-09,SALES_REVENUE,credit,0.00,22618.00,INR,2026-08-04,pay_g14_pad08,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0010,MORD-10,SALES_REVENUE,credit,0.00,31802.00,INR,2026-08-04,pay_g14_pad09,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0011,MORD-11,SALES_REVENUE,credit,0.00,34969.00,INR,2026-08-03,pay_g14_pad10,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0012,MORD-12,SALES_REVENUE,credit,0.00,29385.00,INR,2026-08-02,pay_g14_pad11,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0013,MORD-13,SALES_REVENUE,credit,0.00,40582.00,INR,2026-08-03,pay_g14_pad12,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0014,MORD-14,SALES_REVENUE,credit,0.00,2068.00,INR,2026-08-01,pay_g14_pad13,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0015,MORD-15,SALES_REVENUE,credit,0.00,14324.00,INR,2026-08-02,pay_g14_pad14,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0016,MORD-16,SALES_REVENUE,credit,0.00,27935.00,INR,2026-08-04,pay_g14_pad15,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0017,MORD-17,SALES_REVENUE,credit,0.00,24764.00,INR,2026-08-03,pay_g14_pad16,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0018,MORD-18,SALES_REVENUE,credit,0.00,27761.00,INR,2026-08-02,pay_g14_pad17,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0019,MORD-19,SALES_REVENUE,credit,0.00,40840.00,INR,2026-08-02,pay_g14_pad18,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0020,MORD-20,SALES_REVENUE,credit,0.00,7412.00,INR,2026-08-05,pay_g14_pad19,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0021,MORD-21,SALES_REVENUE,credit,0.00,2210.00,INR,2026-08-03,pay_g14_pad20,
LED-SCENARIO_G14_TIMING_DATE_ANOMALY-0022,MORD-22,SALES_REVENUE,credit,0.00,6759.00,INR,2026-08-04,pay_g14_pad21,
