merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_TYHAkNkHtoEieZ,12800.00,INR,paid,2026-08-01
MORD-02,order_TYHAkNk4W6189k,13623.00,INR,paid,2026-08-02
MORD-03,order_TYHAkPKYZMNJcp,8733.00,INR,paid,2026-08-02
MORD-04,order_TYHAkVc5mkP77A,12504.00,INR,paid,2026-08-02
MORD-05,order_TYHAkV7jDVi7L2,19752.00,INR,paid,2026-08-01
MORD-06,order_TYHAkVxz1UPBL1,39196.00,INR,paid,2026-08-01
MORD-07,order_TYHAmPgJ4EhtZM,10011.00,INR,paid,2026-08-04
MORD-08,order_TYHAkbsJu92y7L,6285.00,INR,paid,2026-08-01
MORD-09,order_TYHAmPfL5Q6cM2,22618.00,INR,paid,2026-08-04
MORD-10,order_TYHAmSBZEK4Myb,31802.00,INR,paid,2026-08-04
MORD-11,order_TYHAmYMg5i9yWE,34969.00,INR,paid,2026-08-03
MORD-12,order_TYHAmXKyjr0KhO,29385.00,INR,paid,2026-08-02
MORD-13,order_TYHAmYtNh2dzYG,40582.00,INR,paid,2026-08-03
MORD-14,order_TYHAmdNCQ8hk7l,2068.00,INR,paid,2026-08-01
MORD-15,order_TYHAoQOF8lsGWY,14324.00,INR,paid,2026-08-02
MORD-16,order_TYHAoOTaPnfnpX,27935.00,INR,paid,2026-08-04
MORD-17,order_TYHAoSpxgmPgh1,24764.00,INR,paid,2026-08-03
MORD-18,order_TYHAoVeOvDzdH4,27761.00,INR,paid,2026-08-02
MORD-19,order_TYHAoXA641kmjs,40840.00,INR,paid,2026-08-02
MORD-20,order_TYHAoaRazmWWJZ,7412.00,INR,paid,2026-08-05
MORD-21,order_TYHAodCj9wNekg,2210.00,INR,paid,2026-08-03
MORD-22,order_TYHAqRT2syHYJ8,6759.00,INR,paid,2026-08-04
