ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0001,MORD-01,SALES_REVENUE,credit,0.00,33000.00,INR,2026-08-17,pay_g15_01,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0002,MORD-02,SALES_REVENUE,credit,0.00,5100.00,INR,2026-08-17,pay_g15_02,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0003,MORD-03,SALES_REVENUE,credit,0.00,8800.00,INR,2026-08-17,pay_g15_03,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0004,MORD-04,SALES_REVENUE,credit,0.00,40495.00,INR,2026-08-18,pay_g15_pad01,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0005,MORD-05,SALES_REVENUE,credit,0.00,34249.00,INR,2026-08-21,pay_g15_pad02,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0006,MORD-06,SALES_REVENUE,credit,0.00,23546.00,INR,2026-08-19,pay_g15_pad03,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0007,MORD-07,SALES_REVENUE,credit,0.00,19518.00,INR,2026-08-17,pay_g15_pad04,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0008,MORD-08,SALES_REVENUE,credit,0.00,11688.00,INR,2026-08-20,pay_g15_pad05,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0009,MORD-09,SALES_REVENUE,credit,0.00,9930.00,INR,2026-08-19,pay_g15_pad06,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0010,MORD-10,SALES_REVENUE,credit,0.00,36515.00,INR,2026-08-19,pay_g15_pad07,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0011,MORD-11,SALES_REVENUE,credit,0.00,29488.00,INR,2026-08-18,pay_g15_pad08,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0012,MORD-12,SALES_REVENUE,credit,0.00,27790.00,INR,2026-08-18,pay_g15_pad09,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0013,MORD-13,SALES_REVENUE,credit,0.00,13312.00,INR,2026-08-17,pay_g15_pad10,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0014,MORD-14,SALES_REVENUE,credit,0.00,23594.00,INR,2026-08-19,pay_g15_pad11,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0015,MORD-15,SALES_REVENUE,credit,0.00,31925.00,INR,2026-08-17,pay_g15_pad12,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0016,MORD-16,SALES_REVENUE,credit,0.00,1894.00,INR,2026-08-19,pay_g15_pad13,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0017,MORD-17,SALES_REVENUE,credit,0.00,43058.00,INR,2026-08-21,pay_g15_pad14,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0018,MORD-18,SALES_REVENUE,credit,0.00,4448.00,INR,2026-08-18,pay_g15_pad15,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0019,MORD-19,SALES_REVENUE,credit,0.00,19089.00,INR,2026-08-19,pay_g15_pad16,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0020,MORD-20,SALES_REVENUE,credit,0.00,23339.00,INR,2026-08-18,pay_g15_pad17,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0021,MORD-21,SALES_REVENUE,credit,0.00,44438.00,INR,2026-08-20,pay_g15_pad18,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0022,MORD-22,SALES_REVENUE,credit,0.00,38527.00,INR,2026-08-18,pay_g15_pad19,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0023,MORD-23,SALES_REVENUE,credit,0.00,36135.00,INR,2026-08-17,pay_g15_pad20,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0024,MORD-24,SALES_REVENUE,credit,0.00,26732.00,INR,2026-08-21,pay_g15_pad21,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0025,MORD-25,SALES_REVENUE,credit,0.00,33810.00,INR,2026-08-18,pay_g15_pad22,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0026,MORD-26,SALES_REVENUE,credit,0.00,9038.00,INR,2026-08-20,pay_g15_pad23,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0027,MORD-27,SALES_REVENUE,credit,0.00,38877.00,INR,2026-08-17,pay_g15_pad24,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0028,MORD-28,SALES_REVENUE,credit,0.00,8721.00,INR,2026-08-21,pay_g15_pad25,
LED-SCENARIO_G15_GROUNDED_UNAMBIGUOUS_REFERENCE_FIX-0029,MORD-29,SALES_REVENUE,credit,0.00,8281.00,INR,2026-08-18,pay_g15_pad26,
