merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_g15_01X,33000.00,INR,paid,2026-08-17
MORD-02,order_TYHAqet2Xx01Bi,5100.00,INR,paid,2026-08-17
MORD-03,order_TYHAqe7t0udq92,8800.00,INR,paid,2026-08-17
MORD-04,order_TYHAqkQjL3GGnt,40495.00,INR,paid,2026-08-18
MORD-05,order_TYHAql5J90znKZ,34249.00,INR,paid,2026-08-21
MORD-06,order_TYHAqoVrj5vgcm,23546.00,INR,paid,2026-08-19
MORD-07,order_TYHAsYFyE89uwV,19518.00,INR,paid,2026-08-17
MORD-08,order_TYHAsasynIkmrZ,11688.00,INR,paid,2026-08-20
MORD-09,order_TYHAscjp3N3lD1,9930.00,INR,paid,2026-08-19
MORD-10,order_TYHAsfASdRa9l9,36515.00,INR,paid,2026-08-19
MORD-11,order_TYHAsgYUu5k3TK,29488.00,INR,paid,2026-08-18
MORD-12,order_TYHAsifBCPoGXm,27790.00,INR,paid,2026-08-18
MORD-13,order_TYHAskZ3Y2wjTn,13312.00,INR,paid,2026-08-17
MORD-14,order_TYHAuYENDpZLvU,23594.00,INR,paid,2026-08-19
MORD-15,order_TYHAuYYRAtBVZv,31925.00,INR,paid,2026-08-17
MORD-16,order_TYHAubQTf7noSD,1894.00,INR,paid,2026-08-19
MORD-17,order_TYHAug3cXIE7v7,43058.00,INR,paid,2026-08-21
MORD-18,order_TYHAugpxxsuuBM,4448.00,INR,paid,2026-08-18
MORD-19,order_TYHAuhyMIWlDPy,19089.00,INR,paid,2026-08-19
MORD-20,order_TYHAumpnNUJZUt,23339.00,INR,paid,2026-08-18
MORD-21,order_TYHAwVTV3BwAvu,44438.00,INR,paid,2026-08-20
MORD-22,order_TYHAwZ3vmNmTio,38527.00,INR,paid,2026-08-18
MORD-23,order_TYHAwfCiw10Kx9,36135.00,INR,paid,2026-08-17
MORD-24,order_TYHAwfW3Yj6JZd,26732.00,INR,paid,2026-08-21
MORD-25,order_TYHAwg5K4GLXrS,33810.00,INR,paid,2026-08-18
MORD-26,order_TYHAwmQmMKswsP,9038.00,INR,paid,2026-08-20
MORD-27,order_TYHAyYC8jCbLBm,38877.00,INR,paid,2026-08-17
MORD-28,order_TYHAwmej0Ord9R,8721.00,INR,paid,2026-08-21
MORD-29,order_TYHAyeAGtN2wun,8281.00,INR,paid,2026-08-18
