ledger_entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0001,MORD-01,SALES_REVENUE,credit,0.00,18000.00,INR,2026-08-18,pay_g16_01,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0002,MORD-02,SALES_REVENUE,credit,0.00,18000.00,INR,2026-08-18,pay_g16_02,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0003,MORD-03,SALES_REVENUE,credit,0.00,30274.00,INR,2026-08-21,pay_g16_pad01,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0004,MORD-04,SALES_REVENUE,credit,0.00,34280.00,INR,2026-08-18,pay_g16_pad02,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0005,MORD-05,SALES_REVENUE,credit,0.00,14008.00,INR,2026-08-21,pay_g16_pad03,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0006,MORD-06,SALES_REVENUE,credit,0.00,1906.00,INR,2026-08-18,pay_g16_pad04,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0007,MORD-07,SALES_REVENUE,credit,0.00,18144.00,INR,2026-08-20,pay_g16_pad05,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0008,MORD-08,SALES_REVENUE,credit,0.00,19267.00,INR,2026-08-20,pay_g16_pad06,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0009,MORD-09,SALES_REVENUE,credit,0.00,37248.00,INR,2026-08-22,pay_g16_pad07,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0010,MORD-10,SALES_REVENUE,credit,0.00,34480.00,INR,2026-08-21,pay_g16_pad08,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0011,MORD-11,SALES_REVENUE,credit,0.00,35322.00,INR,2026-08-22,pay_g16_pad09,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0012,MORD-12,SALES_REVENUE,credit,0.00,7729.00,INR,2026-08-21,pay_g16_pad10,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0013,MORD-13,SALES_REVENUE,credit,0.00,43448.00,INR,2026-08-18,pay_g16_pad11,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0014,MORD-14,SALES_REVENUE,credit,0.00,37206.00,INR,2026-08-22,pay_g16_pad12,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0015,MORD-15,SALES_REVENUE,credit,0.00,45006.00,INR,2026-08-18,pay_g16_pad13,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0016,MORD-16,SALES_REVENUE,credit,0.00,26524.00,INR,2026-08-19,pay_g16_pad14,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0017,MORD-17,SALES_REVENUE,credit,0.00,26490.00,INR,2026-08-21,pay_g16_pad15,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0018,MORD-18,SALES_REVENUE,credit,0.00,12283.00,INR,2026-08-21,pay_g16_pad16,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0019,MORD-19,SALES_REVENUE,credit,0.00,36717.00,INR,2026-08-22,pay_g16_pad17,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0020,MORD-20,SALES_REVENUE,credit,0.00,40296.00,INR,2026-08-18,pay_g16_pad18,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0021,MORD-21,SALES_REVENUE,credit,0.00,29352.00,INR,2026-08-21,pay_g16_pad19,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0022,MORD-22,SALES_REVENUE,credit,0.00,28771.00,INR,2026-08-20,pay_g16_pad20,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0023,MORD-23,SALES_REVENUE,credit,0.00,35721.00,INR,2026-08-21,pay_g16_pad21,
LED-SCENARIO_G16_ABSTAIN_GENUINE_AMBIGUITY-0024,MORD-24,SALES_REVENUE,credit,0.00,40379.00,INR,2026-08-20,pay_g16_pad22,
