merchant_order_id,razorpay_order_id,amount,currency,status,created_at
MORD-01,order_g16_UNKNOWN,18000.00,INR,paid,2026-08-18
MORD-02,order_TYHAypEgLRkNuo,18000.00,INR,paid,2026-08-18
MORD-03,order_TYHAypEtQCh7n8,30274.00,INR,paid,2026-08-21
MORD-04,order_TYHAz0RlIU9Lip,34280.00,INR,paid,2026-08-18
MORD-05,order_TYHAz0S5yrmdoa,14008.00,INR,paid,2026-08-21
MORD-06,order_TYHB0jv4csNyT5,1906.00,INR,paid,2026-08-18
MORD-07,order_TYHB0pORMi8onU,18144.00,INR,paid,2026-08-20
MORD-08,order_TYHB0sGW3qWKLU,19267.00,INR,paid,2026-08-20
MORD-09,order_TYHB0s7KlGBwn6,37248.00,INR,paid,2026-08-22
MORD-10,order_TYHB0wvTPdVBAz,34480.00,INR,paid,2026-08-21
MORD-11,order_TYHB11Kr6r36cI,35322.00,INR,paid,2026-08-22
MORD-12,order_TYHB136j0UXTVe,7729.00,INR,paid,2026-08-21
MORD-13,order_TYHB2lKDXInn5O,43448.00,INR,paid,2026-08-18
MORD-14,order_TYHB2zuJ21hkV9,37206.00,INR,paid,2026-08-22
MORD-15,order_TYHB2tTCTlAoO0,45006.00,INR,paid,2026-08-18
MORD-16,order_TYHB2sR2cShe8A,26524.00,INR,paid,2026-08-19
MORD-17,order_TYHB2zKgFRhKre,26490.00,INR,paid,2026-08-21
MORD-18,order_TYHB30UeAqhTFL,12283.00,INR,paid,2026-08-21
MORD-19,order_TYHB34Q3u8g9a4,36717.00,INR,paid,2026-08-22
MORD-20,order_TYHB4qDuQ1wtLC,40296.00,INR,paid,2026-08-18
MORD-21,order_TYHB4qVz7SX9ax,29352.00,INR,paid,2026-08-21
MORD-22,order_TYHB4um9QdfBtb,28771.00,INR,paid,2026-08-20
MORD-23,order_TYHB4wUaWxtveR,35721.00,INR,paid,2026-08-21
MORD-24,order_TYHB4vTwtdEXq0,40379.00,INR,paid,2026-08-20
