transaction_id,utr,transaction_date,value_date,description,debit,credit,balance,reference
BTX-RICH-0001,RICH-UTR-0001,2026-09-05,2026-09-05,Settlement credit - Northstar Retail,0.00,3915.83,0.00,RICH-UTR-0001
BTX-RICH-0002,RICH-UTR-0002,2026-09-05,2026-09-05,Settlement credit - BlueCart Foods,0.00,10298.01,0.00,RICH-UTR-0002
BTX-RICH-0003,RICH-UTR-0003,2026-09-05,2026-09-05,Settlement credit - UrbanNest,0.00,16128.97,0.00,RICH-UTR-0003
BTX-RICH-0004,RICH-UTR-0004,2026-09-05,2026-09-05,Settlement credit - Aster Mobility,0.00,16425.47,0.00,RICH-UTR-0004
BTX-RICH-0005,RICH-UTR-0005,2026-09-05,2026-09-05,Settlement credit - Craft & Co,0.00,20737.94,0.00,RICH-UTR-0005
BTX-RICH-0006,RICH-UTR-0006,2026-09-05,2026-09-05,Settlement credit - GreenLeaf Market,0.00,3390.86,0.00,RICH-UTR-0006
BTX-RICH-0007,RICH-UTR-0007,2026-09-05,2026-09-05,Settlement credit - Metro Gadgets,0.00,7233.78,0.00,RICH-UTR-0007
BTX-RICH-0008,RICH-UTR-0008,2026-09-05,2026-09-05,Settlement credit - Harbor Pharmacy,0.00,19267.08,0.00,RICH-UTR-0008
BTX-RICH-0009,RICH-UTR-0009,2026-09-05,2026-09-05,Settlement credit - Nova Apparel,0.00,19918.42,0.00,RICH-UTR-0009
BTX-RICH-0010,RICH-UTR-0010,2026-09-05,2026-09-05,Settlement credit - Oak & Stone,0.00,17850.66,0.00,RICH-UTR-0010
BTX-RICH-0011,RICH-UTR-0011,2026-09-05,2026-09-05,Settlement credit - QuickBasket,0.00,13519.71,0.00,RICH-UTR-0011
BTX-RICH-0012,RICH-UTR-0012,2026-09-05,2026-09-05,Settlement credit - Sunrise Electronics,0.00,18360.06,0.00,RICH-UTR-0012
BTX-RICH-0013,RICH-UTR-0013,2026-09-05,2026-09-05,Settlement credit - Northstar Retail,0.00,17571.65,0.00,RICH-UTR-0013
BTX-RICH-0014,RICH-UTR-0014,2026-09-05,2026-09-05,Settlement credit - BlueCart Foods,0.00,23392.89,0.00,RICH-UTR-0014
BTX-RICH-0015,RICH-UTR-0015,2026-09-05,2026-09-05,Settlement credit - UrbanNest,0.00,15758.58,0.00,RICH-UTR-0015
BTX-RICH-0016,RICH-UTR-0016,2026-09-05,2026-09-05,Settlement credit - Aster Mobility,0.00,24045.21,0.00,RICH-UTR-0016
BTX-RICH-0017,RICH-UTR-0017,2026-09-05,2026-09-05,Settlement credit - Craft & Co,0.00,18805.31,0.00,RICH-UTR-0017
