entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-RICH-0001-CR,MORD-RICH-0001,SALES,credit,0.00,4028.00,INR,2026-09-04T09:00:00+00:00,MORD-RICH-0001,Sales revenue
LED-RICH-0001-DR,MORD-RICH-0001,RECEIVABLE,debit,4028.00,0.00,INR,2026-09-04T09:00:00+00:00,MORD-RICH-0001,Customer receivable
LED-RICH-0002-CR,MORD-RICH-0002,SALES,credit,0.00,10593.00,INR,2026-09-04T09:05:00+00:00,MORD-RICH-0002,Sales revenue
LED-RICH-0002-DR,MORD-RICH-0002,RECEIVABLE,debit,10593.00,0.00,INR,2026-09-04T09:05:00+00:00,MORD-RICH-0002,Customer receivable
LED-RICH-0003-CR,MORD-RICH-0003,SALES,credit,0.00,16591.00,INR,2026-09-04T09:10:00+00:00,MORD-RICH-0003,Sales revenue
LED-RICH-0003-DR,MORD-RICH-0003,RECEIVABLE,debit,16591.00,0.00,INR,2026-09-04T09:10:00+00:00,MORD-RICH-0003,Customer receivable
LED-RICH-0004-CR,MORD-RICH-0004,SALES,credit,0.00,16896.00,INR,2026-09-04T09:15:00+00:00,MORD-RICH-0004,Sales revenue
LED-RICH-0004-DR,MORD-RICH-0004,RECEIVABLE,debit,16896.00,0.00,INR,2026-09-04T09:15:00+00:00,MORD-RICH-0004,Customer receivable
LED-RICH-0005-CR,MORD-RICH-0005,SALES,credit,0.00,21332.00,INR,2026-09-04T09:20:00+00:00,MORD-RICH-0005,Sales revenue
LED-RICH-0005-DR,MORD-RICH-0005,RECEIVABLE,debit,21332.00,0.00,INR,2026-09-04T09:20:00+00:00,MORD-RICH-0005,Customer receivable
LED-RICH-0006-CR,MORD-RICH-0006,SALES,credit,0.00,3488.00,INR,2026-09-04T09:25:00+00:00,MORD-RICH-0006,Sales revenue
LED-RICH-0006-DR,MORD-RICH-0006,RECEIVABLE,debit,3488.00,0.00,INR,2026-09-04T09:25:00+00:00,MORD-RICH-0006,Customer receivable
LED-RICH-0007-CR,MORD-RICH-0007,SALES,credit,0.00,7441.00,INR,2026-09-04T09:30:00+00:00,MORD-RICH-0007,Sales revenue
LED-RICH-0007-DR,MORD-RICH-0007,RECEIVABLE,debit,7441.00,0.00,INR,2026-09-04T09:30:00+00:00,MORD-RICH-0007,Customer receivable
LED-RICH-0008-CR,MORD-RICH-0008,SALES,credit,0.00,19819.00,INR,2026-09-04T09:35:00+00:00,MORD-RICH-0008,Sales revenue
LED-RICH-0008-DR,MORD-RICH-0008,RECEIVABLE,debit,19819.00,0.00,INR,2026-09-04T09:35:00+00:00,MORD-RICH-0008,Customer receivable
LED-RICH-0009-CR,MORD-RICH-0009,SALES,credit,0.00,20489.00,INR,2026-09-04T09:40:00+00:00,MORD-RICH-0009,Sales revenue
LED-RICH-0009-DR,MORD-RICH-0009,RECEIVABLE,debit,20489.00,0.00,INR,2026-09-04T09:40:00+00:00,MORD-RICH-0009,Customer receivable
LED-RICH-0010-CR,MORD-RICH-0010,SALES,credit,0.00,18362.00,INR,2026-09-04T09:45:00+00:00,MORD-RICH-0010,Sales revenue
LED-RICH-0010-DR,MORD-RICH-0010,RECEIVABLE,debit,18362.00,0.00,INR,2026-09-04T09:45:00+00:00,MORD-RICH-0010,Customer receivable
LED-RICH-0011-CR,MORD-RICH-0011,SALES,credit,0.00,13907.00,INR,2026-09-04T09:50:00+00:00,MORD-RICH-0011,Sales revenue
LED-RICH-0011-DR,MORD-RICH-0011,RECEIVABLE,debit,13907.00,0.00,INR,2026-09-04T09:50:00+00:00,MORD-RICH-0011,Customer receivable
LED-RICH-0012-CR,MORD-RICH-0012,SALES,credit,0.00,18886.00,INR,2026-09-04T09:55:00+00:00,MORD-RICH-0012,Sales revenue
LED-RICH-0012-DR,MORD-RICH-0012,RECEIVABLE,debit,18886.00,0.00,INR,2026-09-04T09:55:00+00:00,MORD-RICH-0012,Customer receivable
LED-RICH-0013-CR,MORD-RICH-0013,SALES,credit,0.00,18075.00,INR,2026-09-04T10:00:00+00:00,MORD-RICH-0013,Sales revenue
LED-RICH-0013-DR,MORD-RICH-0013,RECEIVABLE,debit,18075.00,0.00,INR,2026-09-04T10:00:00+00:00,MORD-RICH-0013,Customer receivable
LED-RICH-0014-CR,MORD-RICH-0014,SALES,credit,0.00,24063.00,INR,2026-09-04T10:05:00+00:00,MORD-RICH-0014,Sales revenue
LED-RICH-0014-DR,MORD-RICH-0014,RECEIVABLE,debit,24063.00,0.00,INR,2026-09-04T10:05:00+00:00,MORD-RICH-0014,Customer receivable
LED-RICH-0015-CR,MORD-RICH-0015,SALES,credit,0.00,16210.00,INR,2026-09-04T10:10:00+00:00,MORD-RICH-0015,Sales revenue
LED-RICH-0015-DR,MORD-RICH-0015,RECEIVABLE,debit,16210.00,0.00,INR,2026-09-04T10:10:00+00:00,MORD-RICH-0015,Customer receivable
LED-RICH-0016-CR,MORD-RICH-0016,SALES,credit,0.00,24734.00,INR,2026-09-04T10:15:00+00:00,MORD-RICH-0016,Sales revenue
LED-RICH-0016-DR,MORD-RICH-0016,RECEIVABLE,debit,24734.00,0.00,INR,2026-09-04T10:15:00+00:00,MORD-RICH-0016,Customer receivable
LED-RICH-0017-CR,MORD-RICH-0017,SALES,credit,0.00,19344.00,INR,2026-09-04T10:20:00+00:00,MORD-RICH-0017,Sales revenue
LED-RICH-0017-DR,MORD-RICH-0017,RECEIVABLE,debit,19344.00,0.00,INR,2026-09-04T10:20:00+00:00,MORD-RICH-0017,Customer receivable
LED-RICH-0018-CR,MORD-RICH-0018,SALES,credit,0.00,14578.00,INR,2026-09-04T10:25:00+00:00,MORD-RICH-0018,Sales revenue
LED-RICH-0018-DR,MORD-RICH-0018,RECEIVABLE,debit,14578.00,0.00,INR,2026-09-04T10:25:00+00:00,MORD-RICH-0018,Customer receivable
LED-RICH-0019-CR,MORD-RICH-0019,SALES,credit,0.00,7987.00,INR,2026-09-04T10:30:00+00:00,MORD-RICH-0019,Sales revenue
LED-RICH-0019-DR,MORD-RICH-0019,RECEIVABLE,debit,7987.00,0.00,INR,2026-09-04T10:30:00+00:00,MORD-RICH-0019,Customer receivable
LED-RICH-0020-CR,MORD-RICH-0020,SALES,credit,0.00,208.00,INR,2026-09-04T10:35:00+00:00,MORD-RICH-0020,Sales revenue
LED-RICH-0020-DR,MORD-RICH-0020,RECEIVABLE,debit,208.00,0.00,INR,2026-09-04T10:35:00+00:00,MORD-RICH-0020,Customer receivable
LED-RICH-0021-CR,MORD-RICH-0021,SALES,credit,0.00,20251.00,INR,2026-09-04T10:40:00+00:00,MORD-RICH-0021,Sales revenue
LED-RICH-0021-DR,MORD-RICH-0021,RECEIVABLE,debit,20251.00,0.00,INR,2026-09-04T10:40:00+00:00,MORD-RICH-0021,Customer receivable
LED-RICH-0022-CR,MORD-RICH-0022,SALES,credit,0.00,2770.00,INR,2026-09-04T10:45:00+00:00,MORD-RICH-0022,Sales revenue
LED-RICH-0022-DR,MORD-RICH-0022,RECEIVABLE,debit,2770.00,0.00,INR,2026-09-04T10:45:00+00:00,MORD-RICH-0022,Customer receivable
LED-RICH-0023-CR,MORD-RICH-0023,SALES,credit,0.00,3753.00,INR,2026-09-04T10:50:00+00:00,MORD-RICH-0023,Sales revenue
LED-RICH-0023-DR,MORD-RICH-0023,RECEIVABLE,debit,3753.00,0.00,INR,2026-09-04T10:50:00+00:00,MORD-RICH-0023,Customer receivable
LED-RICH-0024-CR,MORD-RICH-0024,SALES,credit,0.00,9537.00,INR,2026-09-04T10:55:00+00:00,MORD-RICH-0024,Sales revenue
LED-RICH-0024-DR,MORD-RICH-0024,RECEIVABLE,debit,9537.00,0.00,INR,2026-09-04T10:55:00+00:00,MORD-RICH-0024,Customer receivable
LED-RICH-0025-CR,MORD-RICH-0025,SALES,credit,0.00,3337.00,INR,2026-09-04T11:00:00+00:00,MORD-RICH-0025,Sales revenue
LED-RICH-0025-DR,MORD-RICH-0025,RECEIVABLE,debit,3337.00,0.00,INR,2026-09-04T11:00:00+00:00,MORD-RICH-0025,Customer receivable
LED-RICH-0026-CR,MORD-RICH-0026,SALES,credit,0.00,14859.00,INR,2026-09-04T11:05:00+00:00,MORD-RICH-0026,Sales revenue
LED-RICH-0026-DR,MORD-RICH-0026,RECEIVABLE,debit,14859.00,0.00,INR,2026-09-04T11:05:00+00:00,MORD-RICH-0026,Customer receivable
LED-RICH-0027-CR,MORD-RICH-0027,SALES,credit,0.00,501.00,INR,2026-09-04T11:10:00+00:00,MORD-RICH-0027,Sales revenue
LED-RICH-0027-DR,MORD-RICH-0027,RECEIVABLE,debit,501.00,0.00,INR,2026-09-04T11:10:00+00:00,MORD-RICH-0027,Customer receivable
LED-RICH-0028-CR,MORD-RICH-0028,SALES,credit,0.00,22576.00,INR,2026-09-04T11:15:00+00:00,MORD-RICH-0028,Sales revenue
LED-RICH-0028-DR,MORD-RICH-0028,RECEIVABLE,debit,22576.00,0.00,INR,2026-09-04T11:15:00+00:00,MORD-RICH-0028,Customer receivable
LED-RICH-0029-CR,MORD-RICH-0029,SALES,credit,0.00,16190.00,INR,2026-09-04T11:20:00+00:00,MORD-RICH-0029,Sales revenue
LED-RICH-0029-DR,MORD-RICH-0029,RECEIVABLE,debit,16190.00,0.00,INR,2026-09-04T11:20:00+00:00,MORD-RICH-0029,Customer receivable
