merchant_order_id,razorpay_order_id,amount,currency,customer_ref,invoice_id,status,created_at,merchant_name
MORD-RICH-0001,RICH-ORDER-0001,4028.00,INR,CUST-RICH-0001,INV-RICH-0001,paid,2026-09-04T09:00:00+00:00,Northstar Retail
MORD-RICH-0002,RICH-ORDER-0002,10593.00,INR,CUST-RICH-0002,INV-RICH-0002,paid,2026-09-04T09:05:00+00:00,BlueCart Foods
MORD-RICH-0003,RICH-ORDER-0003,16591.00,INR,CUST-RICH-0003,INV-RICH-0003,paid,2026-09-04T09:10:00+00:00,UrbanNest
MORD-RICH-0004,RICH-ORDER-0004,16896.00,INR,CUST-RICH-0004,INV-RICH-0004,paid,2026-09-04T09:15:00+00:00,Aster Mobility
MORD-RICH-0005,RICH-ORDER-0005,21332.00,INR,CUST-RICH-0005,INV-RICH-0005,paid,2026-09-04T09:20:00+00:00,Craft & Co
MORD-RICH-0006,RICH-ORDER-0006,3488.00,INR,CUST-RICH-0006,INV-RICH-0006,paid,2026-09-04T09:25:00+00:00,GreenLeaf Market
MORD-RICH-0007,RICH-ORDER-0007,7441.00,INR,CUST-RICH-0007,INV-RICH-0007,paid,2026-09-04T09:30:00+00:00,Metro Gadgets
MORD-RICH-0008,RICH-ORDER-0008,19994.00,INR,CUST-RICH-0008,INV-RICH-0008,paid,2026-09-04T09:35:00+00:00,Harbor Pharmacy
MORD-RICH-0009,RICH-ORDER-0009,20489.00,INR,CUST-RICH-0009,INV-RICH-0009,paid,2026-09-04T09:40:00+00:00,Nova Apparel
MORD-RICH-0010,RICH-ORDER-0010,18362.00,INR,CUST-RICH-0010,INV-RICH-0010,paid,2026-09-04T09:45:00+00:00,Oak & Stone
MORD-RICH-0011,RICH-ORDER-0011,13907.00,INR,CUST-RICH-0011,INV-RICH-0011,paid,2026-09-04T09:50:00+00:00,QuickBasket
MORD-RICH-0012,RICH-ORDER-0012,18886.00,INR,CUST-RICH-0012,INV-RICH-0012,paid,2026-09-04T09:55:00+00:00,Sunrise Electronics
MORD-RICH-0013,RICH-ORDER-0013,18075.00,INR,CUST-RICH-0013,INV-RICH-0013,paid,2026-09-04T10:00:00+00:00,Northstar Retail
MORD-RICH-0014,RICH-ORDER-0014,24063.00,INR,CUST-RICH-0014,INV-RICH-0014,paid,2026-09-04T10:05:00+00:00,BlueCart Foods
MORD-RICH-0015,RICH-ORDER-0015,16210.00,INR,CUST-RICH-0015,INV-RICH-0015,paid,2026-09-04T10:10:00+00:00,UrbanNest
MORD-RICH-0016,RICH-ORDER-0016,24734.00,INR,CUST-RICH-0016,INV-RICH-0016,paid,2026-09-04T10:15:00+00:00,Aster Mobility
