transaction_id,merchant_order_id,razorpay_order_id,amount,currency,transaction_date,status,terminal_id
POS-RICH-0001,MORD-RICH-0001,RICH-ORDER-0001,4028.00,INR,2026-09-04T09:00:00+00:00,success,TERM-01
POS-RICH-0002,MORD-RICH-0002,RICH-ORDER-0002,10593.00,INR,2026-09-04T09:05:00+00:00,success,TERM-02
POS-RICH-0003,MORD-RICH-0003,RICH-ORDER-0003,16591.00,INR,2026-09-04T09:10:00+00:00,success,TERM-03
POS-RICH-0004,MORD-RICH-0004,RICH-ORDER-0004,16896.00,INR,2026-09-04T09:15:00+00:00,success,TERM-04
POS-RICH-0005,MORD-RICH-0005,RICH-ORDER-0005,21332.00,INR,2026-09-04T09:20:00+00:00,success,TERM-05
POS-RICH-0006,MORD-RICH-0006,RICH-ORDER-0006,3488.00,INR,2026-09-04T09:25:00+00:00,success,TERM-06
POS-RICH-0007,MORD-RICH-0007,RICH-ORDER-0007,7441.00,INR,2026-09-04T09:30:00+00:00,success,TERM-07
POS-RICH-0008,MORD-RICH-0008,RICH-ORDER-0008,19819.00,INR,2026-09-04T09:35:00+00:00,success,TERM-08
POS-RICH-0009,MORD-RICH-0009,RICH-ORDER-0009,20489.00,INR,2026-09-04T09:40:00+00:00,success,TERM-09
POS-RICH-0010,MORD-RICH-0010,RICH-ORDER-0010,18362.00,INR,2026-09-04T09:45:00+00:00,success,TERM-10
POS-RICH-0011,MORD-RICH-0011,RICH-ORDER-0011,13907.00,INR,2026-09-04T09:50:00+00:00,success,TERM-11
POS-RICH-0012,MORD-RICH-0012,RICH-ORDER-0012,18886.00,INR,2026-09-04T09:55:00+00:00,success,TERM-12
POS-RICH-0013,MORD-RICH-0013,RICH-ORDER-0013,18075.00,INR,2026-09-04T10:00:00+00:00,success,TERM-01
POS-RICH-0014,MORD-RICH-0014,RICH-ORDER-0014,24063.00,INR,2026-09-04T10:05:00+00:00,success,TERM-02
POS-RICH-0015,MORD-RICH-0015,RICH-ORDER-0015,16210.00,INR,2026-09-04T10:10:00+00:00,success,TERM-03
POS-RICH-0016,MORD-RICH-0016,RICH-ORDER-0016,24734.00,INR,2026-09-04T10:15:00+00:00,success,TERM-04
POS-RICH-0017,MORD-RICH-0017,RICH-ORDER-0017,19344.00,INR,2026-09-04T10:20:00+00:00,success,TERM-05
POS-RICH-0018,MORD-RICH-0018,RICH-ORDER-0018,14578.00,INR,2026-09-04T10:25:00+00:00,success,TERM-06
POS-RICH-0019,MORD-RICH-0019,RICH-ORDER-0019,7987.00,INR,2026-09-04T10:30:00+00:00,success,TERM-07
POS-RICH-0020,MORD-RICH-0020,RICH-ORDER-0020,183.00,INR,2026-09-04T10:35:00+00:00,success,TERM-08
POS-RICH-0021,MORD-RICH-0021,RICH-ORDER-0021,20251.00,INR,2026-09-04T10:40:00+00:00,success,TERM-09
POS-RICH-0022,MORD-RICH-0022,RICH-ORDER-0022,2770.00,INR,2026-09-04T10:45:00+00:00,success,TERM-10
POS-RICH-0023,MORD-RICH-0023,RICH-ORDER-0023,3753.00,INR,2026-09-04T10:50:00+00:00,success,TERM-11
POS-RICH-0024,MORD-RICH-0024,RICH-ORDER-0024,9537.00,INR,2026-09-04T10:55:00+00:00,success,TERM-12
POS-RICH-0025,MORD-RICH-0025,RICH-ORDER-0025,3337.00,INR,2026-09-04T11:00:00+00:00,success,TERM-01
POS-RICH-0026,MORD-RICH-0026,RICH-ORDER-0026,14859.00,INR,2026-09-04T11:05:00+00:00,success,TERM-02
