merchant_order_id,razorpay_order_id,amount,currency,customer_ref,invoice_id,status,created_at,merchant_name
MORD-RICH-0001,order_TYLcLUfOvzqqmt,4028.00,INR,CUST-RICH-0001,INV-RICH-0001,paid,2026-09-04T09:00:00+00:00,Northstar Retail
MORD-RICH-0002,order_TYLcLTao6zabin,10593.00,INR,CUST-RICH-0002,INV-RICH-0002,paid,2026-09-04T09:05:00+00:00,BlueCart Foods
MORD-RICH-0003,order_TYLcLUlZXR4rFq,16591.00,INR,CUST-RICH-0003,INV-RICH-0003,paid,2026-09-04T09:10:00+00:00,UrbanNest
MORD-RICH-0004,order_TYLcLc00PzUnFo,16896.00,INR,CUST-RICH-0004,INV-RICH-0004,paid,2026-09-04T09:15:00+00:00,Aster Mobility
MORD-RICH-0005,order_TYLcLdAtHWH8aU,21332.00,INR,CUST-RICH-0005,INV-RICH-0005,paid,2026-09-04T09:20:00+00:00,Craft & Co
MORD-RICH-0006,order_TYLcLgLd2x4DDi,3488.00,INR,CUST-RICH-0006,INV-RICH-0006,paid,2026-09-04T09:25:00+00:00,GreenLeaf Market
MORD-RICH-0007,order_TYLcLmbtYLlXFy,7441.00,INR,CUST-RICH-0007,INV-RICH-0007,paid,2026-09-04T09:30:00+00:00,Metro Gadgets
MORD-RICH-0008,order_TYLcNVCbi1WYWR,19994.00,INR,CUST-RICH-0008,INV-RICH-0008,paid,2026-09-04T09:35:00+00:00,Harbor Pharmacy
MORD-RICH-0009,order_TYLcNbVFXjJ9YW,20489.00,INR,CUST-RICH-0009,INV-RICH-0009,paid,2026-09-04T09:40:00+00:00,Nova Apparel
MORD-RICH-0010,order_TYLcNch6Dgetfn,18362.00,INR,CUST-RICH-0010,INV-RICH-0010,paid,2026-09-04T09:45:00+00:00,Oak & Stone
MORD-RICH-0011,order_TYLcNfMKbOusu9,13907.00,INR,CUST-RICH-0011,INV-RICH-0011,paid,2026-09-04T09:50:00+00:00,QuickBasket
MORD-RICH-0012,order_TYLcNj472xEi5R,18886.00,INR,CUST-RICH-0012,INV-RICH-0012,paid,2026-09-04T09:55:00+00:00,Sunrise Electronics
MORD-RICH-0013,order_TYLcNir2x8B89o,18075.00,INR,CUST-RICH-0013,INV-RICH-0013,paid,2026-09-04T10:00:00+00:00,Northstar Retail
MORD-RICH-0014,order_TYLcNkneb5fGc9,24063.00,INR,CUST-RICH-0014,INV-RICH-0014,paid,2026-09-04T10:05:00+00:00,BlueCart Foods
MORD-RICH-0015,order_TYLcPZhkFaNk6i,16210.00,INR,CUST-RICH-0015,INV-RICH-0015,paid,2026-09-04T10:10:00+00:00,UrbanNest
MORD-RICH-0016,order_TYLcPYueIIJzF0,24734.00,INR,CUST-RICH-0016,INV-RICH-0016,paid,2026-09-04T10:15:00+00:00,Aster Mobility
MORD-RICH-0017,order_TYLcPaswlUcdZG,19344.00,INR,CUST-RICH-0017,INV-RICH-0017,paid,2026-09-04T10:20:00+00:00,Craft & Co
MORD-RICH-0018,order_TYLcPg9UwhAZSQ,14578.00,INR,CUST-RICH-0018,INV-RICH-0018,paid,2026-09-04T10:25:00+00:00,GreenLeaf Market
