gateway_transaction_id,merchant_order_id,gateway_order_id,amount,currency,fee,tax,status,created_at
GTW-RICH-0001,MORD-RICH-0001,RICH-ORDER-0001,4028.00,INR,95.06,17.11,success,2026-09-04T09:00:00+00:00
GTW-RICH-0002,MORD-RICH-0002,RICH-ORDER-0002,10593.00,INR,249.99,45.00,success,2026-09-04T09:05:00+00:00
GTW-RICH-0003,MORD-RICH-0003,RICH-ORDER-0003,16591.00,INR,391.55,70.48,success,2026-09-04T09:10:00+00:00
GTW-RICH-0004,MORD-RICH-0004,RICH-ORDER-0004,16896.00,INR,398.75,71.78,success,2026-09-04T09:15:00+00:00
GTW-RICH-0005,MORD-RICH-0005,RICH-ORDER-0005,21332.00,INR,503.44,90.62,success,2026-09-04T09:20:00+00:00
GTW-RICH-0006,MORD-RICH-0006,RICH-ORDER-0006,3488.00,INR,82.32,14.82,success,2026-09-04T09:25:00+00:00
GTW-RICH-0007,MORD-RICH-0007,RICH-ORDER-0007,7441.00,INR,175.61,31.61,success,2026-09-04T09:30:00+00:00
GTW-RICH-0008,MORD-RICH-0008,RICH-ORDER-0008,19819.00,INR,467.73,84.19,success,2026-09-04T09:35:00+00:00
GTW-RICH-0009,MORD-RICH-0009,RICH-ORDER-0009,20489.00,INR,483.54,87.04,success,2026-09-04T09:40:00+00:00
GTW-RICH-0010,MORD-RICH-0010,RICH-ORDER-0010,18362.00,INR,433.34,78.00,success,2026-09-04T09:45:00+00:00
GTW-RICH-0011,MORD-RICH-0011,RICH-ORDER-0011,13907.00,INR,328.21,59.08,success,2026-09-04T09:50:00+00:00
GTW-RICH-0012,MORD-RICH-0012,RICH-ORDER-0012,18886.00,INR,445.71,80.23,success,2026-09-04T09:55:00+00:00
GTW-RICH-0013,MORD-RICH-0013,RICH-ORDER-0013,18075.00,INR,426.57,76.78,success,2026-09-04T10:00:00+00:00
GTW-RICH-0014,MORD-RICH-0014,RICH-ORDER-0014,24063.00,INR,567.89,102.22,success,2026-09-04T10:05:00+00:00
GTW-RICH-0015,MORD-RICH-0015,RICH-ORDER-0015,16210.00,INR,382.56,68.86,success,2026-09-04T10:10:00+00:00
GTW-RICH-0016,MORD-RICH-0016,RICH-ORDER-0016,24734.00,INR,583.72,105.07,success,2026-09-04T10:15:00+00:00
GTW-RICH-0017,MORD-RICH-0017,RICH-ORDER-0017,19344.00,INR,456.52,82.17,success,2026-09-04T10:20:00+00:00
GTW-RICH-0018,MORD-RICH-0018,RICH-ORDER-0018,14578.00,INR,344.04,61.93,success,2026-09-04T10:25:00+00:00
GTW-RICH-0019,MORD-RICH-0019,RICH-ORDER-0019,7987.00,INR,188.49,33.93,success,2026-09-04T10:30:00+00:00
GTW-RICH-0020,MORD-RICH-0020,RICH-ORDER-0020,208.00,INR,4.91,0.88,success,2026-09-04T10:35:00+00:00
GTW-RICH-0021,MORD-RICH-0021,RICH-ORDER-0021,20251.00,INR,477.92,86.03,success,2026-09-04T10:40:00+00:00
GTW-RICH-0022,MORD-RICH-0022,RICH-ORDER-0022,2770.00,INR,65.37,11.77,success,2026-09-04T10:45:00+00:00
GTW-RICH-0023,MORD-RICH-0023,RICH-ORDER-0023,3753.00,INR,88.57,15.94,success,2026-09-04T10:50:00+00:00
GTW-RICH-0024,MORD-RICH-0024,RICH-ORDER-0024,9537.00,INR,225.07,40.51,success,2026-09-04T10:55:00+00:00
GTW-RICH-0025,MORD-RICH-0025,RICH-ORDER-0025,3337.00,INR,78.75,14.18,success,2026-09-04T11:00:00+00:00
GTW-RICH-0026,MORD-RICH-0026,RICH-ORDER-0026,14859.00,INR,350.67,63.12,success,2026-09-04T11:05:00+00:00
GTW-RICH-0027,MORD-RICH-0027,RICH-ORDER-0027,501.00,INR,11.82,2.13,success,2026-09-04T11:10:00+00:00
GTW-RICH-0028,MORD-RICH-0028,RICH-ORDER-0028,22576.00,INR,532.79,95.90,success,2026-09-04T11:15:00+00:00
GTW-RICH-0029,MORD-RICH-0029,RICH-ORDER-0029,16190.00,INR,382.08,68.77,success,2026-09-04T11:20:00+00:00
GTW-RICH-0030,MORD-RICH-0030,RICH-ORDER-0030,22427.00,INR,528.33,95.10,success,2026-09-04T11:25:00+00:00
GTW-RICH-0031,MORD-RICH-0031,RICH-ORDER-0031,10421.00,INR,245.94,44.27,success,2026-09-04T11:30:00+00:00
GTW-RICH-0032,MORD-RICH-0032,RICH-ORDER-0032,7013.00,INR,165.51,29.79,success,2026-09-04T11:35:00+00:00
GTW-RICH-0033,MORD-RICH-0033,RICH-ORDER-0033,13141.00,INR,310.13,55.82,success,2026-09-04T11:40:00+00:00
GTW-RICH-0034,MORD-RICH-0034,RICH-ORDER-0034,8366.00,INR,197.44,35.54,success,2026-09-04T11:45:00+00:00
GTW-RICH-0035,MORD-RICH-0035,RICH-ORDER-0035,11517.00,INR,271.80,48.92,success,2026-09-04T11:50:00+00:00
GTW-RICH-0036,MORD-RICH-0036,RICH-ORDER-0036,11811.00,INR,278.74,50.17,success,2026-09-04T11:55:00+00:00
GTW-RICH-0037,MORD-RICH-0037,RICH-ORDER-0037,12457.00,INR,293.99,52.92,success,2026-09-04T12:00:00+00:00
GTW-RICH-0038,MORD-RICH-0038,RICH-ORDER-0038,24568.00,INR,579.80,104.36,success,2026-09-04T12:05:00+00:00
GTW-RICH-0039,MORD-RICH-0039,RICH-ORDER-0039,16954.00,INR,400.11,72.02,success,2026-09-04T12:10:00+00:00
GTW-RICH-0040,MORD-RICH-0040,RICH-ORDER-0040,21021.00,INR,496.10,89.30,success,2026-09-04T12:15:00+00:00
GTW-RICH-0041,MORD-RICH-0041,RICH-ORDER-0041,2625.00,INR,61.95,11.15,success,2026-09-04T12:20:00+00:00
GTW-RICH-0042,MORD-RICH-0042,RICH-ORDER-0042,23819.00,INR,562.13,101.18,success,2026-09-04T12:25:00+00:00
GTW-RICH-0043,MORD-RICH-0043,RICH-ORDER-0043,11279.00,INR,266.18,47.91,success,2026-09-04T12:30:00+00:00
GTW-RICH-0044,MORD-RICH-0044,RICH-ORDER-0044,3063.00,INR,72.29,13.01,success,2026-09-04T12:35:00+00:00
GTW-RICH-0045,MORD-RICH-0045,RICH-ORDER-0045,18391.00,INR,434.03,78.13,success,2026-09-04T12:40:00+00:00
GTW-RICH-0046,MORD-RICH-0046,RICH-ORDER-0046,17756.00,INR,419.04,75.43,success,2026-09-04T12:45:00+00:00
GTW-RICH-0047,MORD-RICH-0047,RICH-ORDER-0047,9697.00,INR,228.85,41.19,success,2026-09-04T12:50:00+00:00
GTW-RICH-0048,MORD-RICH-0048,RICH-ORDER-0048,9549.00,INR,225.36,40.56,success,2026-09-04T12:55:00+00:00
GTW-RICH-0049,MORD-RICH-0049,RICH-ORDER-0049,15114.00,INR,356.69,64.20,success,2026-09-04T13:00:00+00:00
GTW-RICH-0050,MORD-RICH-0050,RICH-ORDER-0050,4741.00,INR,111.89,20.14,success,2026-09-04T13:05:00+00:00
GTW-RICH-0051,MORD-RICH-0051,RICH-ORDER-0051,21253.00,INR,501.57,90.28,success,2026-09-04T13:10:00+00:00
GTW-RICH-0052,MORD-RICH-0052,RICH-ORDER-0052,23192.00,INR,547.33,98.52,success,2026-09-04T13:15:00+00:00
GTW-RICH-0053,MORD-RICH-0053,RICH-ORDER-0053,23600.00,INR,556.96,100.25,success,2026-09-04T13:20:00+00:00
GTW-RICH-0054,MORD-RICH-0054,RICH-ORDER-0054,19046.00,INR,449.49,80.91,success,2026-09-04T13:25:00+00:00
GTW-RICH-0055,MORD-RICH-0055,RICH-ORDER-0055,10250.00,INR,241.90,43.54,success,2026-09-04T13:30:00+00:00
GTW-RICH-0056,MORD-RICH-0056,RICH-ORDER-0056,935.00,INR,22.07,3.97,success,2026-09-04T13:35:00+00:00
GTW-RICH-0057,MORD-RICH-0057,RICH-ORDER-0057,23418.00,INR,552.66,99.48,success,2026-09-04T13:40:00+00:00
GTW-RICH-0058,MORD-RICH-0058,RICH-ORDER-0058,12211.00,INR,288.18,51.87,success,2026-09-04T13:45:00+00:00
GTW-RICH-0059,MORD-RICH-0059,RICH-ORDER-0059,12037.00,INR,284.07,51.13,success,2026-09-04T13:50:00+00:00
GTW-RICH-0060,MORD-RICH-0060,RICH-ORDER-0060,15233.00,INR,359.50,64.71,success,2026-09-04T13:55:00+00:00
