pos_transaction_id,merchant_order_id,razorpay_order_id,amount,currency,transaction_date,status,terminal_id
POS-RICH-0001,MORD-RICH-0001,order_TYLcLUfOvzqqmt,4028.00,INR,2026-09-04T09:00:00+00:00,success,TERM-01
POS-RICH-0002,MORD-RICH-0002,order_TYLcLTao6zabin,10593.00,INR,2026-09-04T09:05:00+00:00,success,TERM-02
POS-RICH-0003,MORD-RICH-0003,order_TYLcLUlZXR4rFq,16591.00,INR,2026-09-04T09:10:00+00:00,success,TERM-03
POS-RICH-0004,MORD-RICH-0004,order_TYLcLc00PzUnFo,16896.00,INR,2026-09-04T09:15:00+00:00,success,TERM-04
POS-RICH-0005,MORD-RICH-0005,order_TYLcLdAtHWH8aU,21332.00,INR,2026-09-04T09:20:00+00:00,success,TERM-05
POS-RICH-0006,MORD-RICH-0006,order_TYLcLgLd2x4DDi,3488.00,INR,2026-09-04T09:25:00+00:00,success,TERM-06
POS-RICH-0007,MORD-RICH-0007,order_TYLcLmbtYLlXFy,7441.00,INR,2026-09-04T09:30:00+00:00,success,TERM-07
POS-RICH-0008,MORD-RICH-0008,order_TYLcNVCbi1WYWR,19819.00,INR,2026-09-04T09:35:00+00:00,success,TERM-08
POS-RICH-0009,MORD-RICH-0009,order_TYLcNbVFXjJ9YW,20489.00,INR,2026-09-04T09:40:00+00:00,success,TERM-09
POS-RICH-0010,MORD-RICH-0010,order_TYLcNch6Dgetfn,18362.00,INR,2026-09-04T09:45:00+00:00,success,TERM-10
POS-RICH-0011,MORD-RICH-0011,order_TYLcNfMKbOusu9,13907.00,INR,2026-09-04T09:50:00+00:00,success,TERM-11
POS-RICH-0012,MORD-RICH-0012,order_TYLcNj472xEi5R,18886.00,INR,2026-09-04T09:55:00+00:00,success,TERM-12
POS-RICH-0013,MORD-RICH-0013,order_TYLcNir2x8B89o,18075.00,INR,2026-09-04T10:00:00+00:00,success,TERM-01
POS-RICH-0014,MORD-RICH-0014,order_TYLcNkneb5fGc9,24063.00,INR,2026-09-04T10:05:00+00:00,success,TERM-02
POS-RICH-0015,MORD-RICH-0015,order_TYLcPZhkFaNk6i,16210.00,INR,2026-09-04T10:10:00+00:00,success,TERM-03
POS-RICH-0016,MORD-RICH-0016,order_TYLcPYueIIJzF0,24734.00,INR,2026-09-04T10:15:00+00:00,success,TERM-04
POS-RICH-0017,MORD-RICH-0017,order_TYLcPaswlUcdZG,19344.00,INR,2026-09-04T10:20:00+00:00,success,TERM-05
POS-RICH-0018,MORD-RICH-0018,order_TYLcPg9UwhAZSQ,14578.00,INR,2026-09-04T10:25:00+00:00,success,TERM-06
POS-RICH-0019,MORD-RICH-0019,order_TYLcPgaT43qonl,7987.00,INR,2026-09-04T10:30:00+00:00,success,TERM-07
POS-RICH-0020,MORD-RICH-0020,order_TYLcPi2z0VqsQV,183.00,INR,2026-09-04T10:35:00+00:00,success,TERM-08
POS-RICH-0021,MORD-RICH-0021,order_TYLcRXUdbHVAQf,20251.00,INR,2026-09-04T10:40:00+00:00,success,TERM-09
POS-RICH-0022,MORD-RICH-0022,order_TYLcPntttVYbks,2770.00,INR,2026-09-04T10:45:00+00:00,success,TERM-10
POS-RICH-0023,MORD-RICH-0023,order_TYLcRXykmXMuEo,3753.00,INR,2026-09-04T10:50:00+00:00,success,TERM-11
POS-RICH-0024,MORD-RICH-0024,order_TYLcRdi9DKqlcF,9537.00,INR,2026-09-04T10:55:00+00:00,success,TERM-12
POS-RICH-0025,MORD-RICH-0025,order_TYLcRftAADwVuE,3337.00,INR,2026-09-04T11:00:00+00:00,success,TERM-01
POS-RICH-0026,MORD-RICH-0026,order_TYLcRg5CcFSoBA,14859.00,INR,2026-09-04T11:05:00+00:00,success,TERM-02
POS-RICH-0027,MORD-RICH-0027,order_TYLcRkJjwjvk5m,501.00,INR,2026-09-04T11:10:00+00:00,success,TERM-03
POS-RICH-0028,MORD-RICH-0028,order_TYLcTXphszCX5P,22576.00,INR,2026-09-04T11:15:00+00:00,success,TERM-04
POS-RICH-0029,MORD-RICH-0029,order_TYLcRlwqt6SgOa,16190.00,INR,2026-09-04T11:20:00+00:00,success,TERM-05
POS-RICH-0030,MORD-RICH-0030,order_TYLcTYolYs8Wao,22387.00,INR,2026-09-04T11:25:00+00:00,success,TERM-06
POS-RICH-0031,MORD-RICH-0031,order_TYLcTdLxdH9Gl5,10421.00,INR,2026-09-04T11:30:00+00:00,success,TERM-07
POS-RICH-0032,MORD-RICH-0032,order_TYLcTfWuf6uSFS,7013.00,INR,2026-09-04T11:35:00+00:00,success,TERM-08
POS-RICH-0033,MORD-RICH-0033,order_TYLcTgwjx8nitr,13141.00,INR,2026-09-04T11:40:00+00:00,success,TERM-09
POS-RICH-0034,MORD-RICH-0034,order_TYLcTizdzq7lqD,8366.00,INR,2026-09-04T11:45:00+00:00,success,TERM-10
POS-RICH-0035,MORD-RICH-0035,order_TYLcVYpKXQ8srD,11517.00,INR,2026-09-04T11:50:00+00:00,success,TERM-11
POS-RICH-0036,MORD-RICH-0036,order_TYLcTnpax9XEuw,11811.00,INR,2026-09-04T11:55:00+00:00,success,TERM-12
POS-RICH-0037,MORD-RICH-0037,order_TYLcVYS01wFkCo,12457.00,INR,2026-09-04T12:00:00+00:00,success,TERM-01
POS-RICH-0038,MORD-RICH-0038,order_TYLcViAgal3ITA,24568.00,INR,2026-09-04T12:05:00+00:00,success,TERM-02
POS-RICH-0039,MORD-RICH-0039,order_TYLcVfZPdYVcIh,16954.00,INR,2026-09-04T12:10:00+00:00,success,TERM-03
POS-RICH-0040,MORD-RICH-0040,order_TYLcVgu3AqDPf8,21021.00,INR,2026-09-04T12:15:00+00:00,success,TERM-04
POS-RICH-0041,MORD-RICH-0041,order_TYLcVnWKDR7Lqs,2625.00,INR,2026-09-04T12:20:00+00:00,success,TERM-05
POS-RICH-0042,MORD-RICH-0042,order_TYLcVnHbGA3wR0,23819.00,INR,2026-09-04T12:25:00+00:00,success,TERM-06
POS-RICH-0043,MORD-RICH-0043,order_TYLcXWEw1ckU9S,11279.00,INR,2026-09-04T12:30:00+00:00,success,TERM-07
POS-RICH-0044,MORD-RICH-0044,order_TYLcXb7EfOOpBj,3063.00,INR,2026-09-04T12:35:00+00:00,success,TERM-08
POS-RICH-0045,MORD-RICH-0045,order_TYLcXbAOSwqjux,18391.00,INR,2026-09-04T12:40:00+00:00,success,TERM-09
POS-RICH-0046,MORD-RICH-0046,order_TYLcXfd353C5QN,17756.00,INR,2026-09-04T12:45:00+00:00,success,TERM-10
POS-RICH-0047,MORD-RICH-0047,order_TYLcXgTAjqYkoB,9697.00,INR,2026-09-04T12:50:00+00:00,success,TERM-11
POS-RICH-0048,MORD-RICH-0048,order_TYLcXi8uYRdatl,9549.00,INR,2026-09-04T12:55:00+00:00,success,TERM-12
POS-RICH-0049,MORD-RICH-0049,order_TYLcXlvDBGON7X,15114.00,INR,2026-09-04T13:00:00+00:00,success,TERM-01
POS-RICH-0050,MORD-RICH-0050,order_TYLcZWyCQuRhZu,4741.00,INR,2026-09-04T13:05:00+00:00,success,TERM-02
POS-RICH-0051,MORD-RICH-0051,order_TYLcZXbBGRBxdG,21253.00,INR,2026-09-04T13:10:00+00:00,success,TERM-03
POS-RICH-0052,MORD-RICH-0052,order_TYLcZhFbclNgtf,23192.00,INR,2026-09-04T13:15:00+00:00,success,TERM-04
POS-RICH-0053,MORD-RICH-0053,order_TYLcZfR738GYJ3,23600.00,INR,2026-09-04T13:20:00+00:00,success,TERM-05
POS-RICH-0054,MORD-RICH-0054,order_TYLcZemnVjvNAr,19046.00,INR,2026-09-04T13:25:00+00:00,success,TERM-06
POS-RICH-0055,MORD-RICH-0055,order_TYLcZmOZDHLSp4,10250.00,INR,2026-09-04T13:30:00+00:00,success,TERM-07
POS-RICH-0056,MORD-RICH-0056,order_TYLcZm8mCiOflz,935.00,INR,2026-09-04T13:35:00+00:00,success,TERM-08
POS-RICH-0057,MORD-RICH-0057,order_TYLcbazoFojIzq,23418.00,INR,2026-09-04T13:40:00+00:00,success,TERM-09
POS-RICH-0058,MORD-RICH-0058,order_TYLcbbOIiQk4bq,12211.00,INR,2026-09-04T13:45:00+00:00,success,TERM-10
POS-RICH-0059,MORD-RICH-0059,order_TYLcbca7fiB7uC,12037.00,INR,2026-09-04T13:50:00+00:00,success,TERM-11
POS-RICH-0060,MORD-RICH-0060,order_TYLcbhAjCtTGkJ,15233.00,INR,2026-09-04T13:55:00+00:00,success,TERM-12
